COURSE TITLE,R1 2019,R2 2019,2019 Interview,2019 R1 Random
Photography,636.0,791.0,1,0
Film and Television Production,933.0,1011.0,1,0
Creative Media Technologies,237.0,289.0,0,0
Creative Computing,217.0,326.0,0,0
New Media Studies,290.0,349.0,0,0
Creative Music Production,746.0,873.0,1,0
Business Studies (Cork),269.0,359.0,0,0
Accounting and Finance (Cork),251.0,388.0,0,0
Computing Science (Cork),228.0,327.0,0,0
Business Studies (Limerick),251.0,302.0,0,0
Accounting and Finance,307.0,314.0,0,0
"Business Studies - (HRM, Limerick)",269.0,269.0,0,0
International Hospitality Management (Limerick),327.0,327.0,0,0
Business Studies (Dublin),246.0,297.0,0,0
Accounting and Finance (Dublin),181.0,309.0,0,0
"Business Studies (HRM, Dublin)",217.0,290.0,0,0
Law (Dublin),225.0,308.0,0,0
International Hospitality Management (Dublin),254.0,272.0,0,0
"Business Studies (Marketing, Dublin)",246.0,330.0,0,0
Computing Science (Dublin),217.0,269.0,0,0
Journalism and Visual Media (Dublin),227.0,307.0,0,0
Design Communication (Dublin),,,0,0
Interior Architecture (Dublin),267.0,361.0,1,0
Fashion Design (Dublin),,,1,0
Accounting and Finance,229.0,291.0,0,0
Business Studies,285.0,366.0,0,0
Business Studies with Chinese,,,0,0
Business,252.0,289.0,0,0
Business and Information Technology,254.0,290.0,0,0
Computing (Information Technology),260.0,293.0,0,0
Applied Social Studies in Social Care,300.0,328.0,0,0
Engineering (Common Entry with Award options),271.0,318.0,0,0
Business (Common Entry with Award options),260.0,279.0,0,0
International Business,253.0,308.0,0,0
Sports Management and Coaching,270.0,298.0,0,0
Creative Digital Media,280.0,329.0,0,0
Horticulture,289.0,321.0,0,0
Accounting and Finance,280.0,332.0,0,0
Community and Youth Development,250.0,298.0,0,0
Computer Engineering in Mobile Systems,273.0,311.0,0,0
Early Childhood Care and Education,290.0,320.0,0,0
Digital Marketing,270.0,308.0,0,0
Digital Forensics and Cyber Security,281.0,326.0,0,0
Mechatronic Engineering,276.0,340.0,0,0
"Design,Technology and Innovation",297.0,318.0,0,0
Creative Digital Media,260.0,318.0,0,0
Advertising and Marketing Communications,235.0,299.0,0,0
Early Childhood Care and Education,217.0,307.0,0,0
Social Care Practice,261.0,297.0,0,0
International Hospitality and Tourism Management,208.0,269.0,0,0
Botanical Cuisine,236.0,273.0,0,0
Digital Marketing Technologies,220.0,313.0,0,0
Accounting and Finance,202.0,328.0,0,0
Management,218.0,297.0,0,0
Marketing Management,207.0,284.0,0,0
International Business,229.0,300.0,0,0
