CATEGORY (i.e.ISCED description),COURSE TITLE,R1 2020,2020 R1 Random,R2 P2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,2020 Interview,avp,v
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,333,0.0,0,0.0,333,0.0,360,8,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Quantity Surveying,319,0.0,0,0.0,326,0.0,352,8,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,320,0.0,0,0.0,320,0.0,432,8,Athlone Institute of Technology,0.0,0,0
Manufacturing and processing,Mechanical and Polymer Engineering,308,0.0,0,0.0,308,0.0,379,8,Athlone Institute of Technology,0.0,0,0
Health,General Nursing,442,0.0,0,0.0,442,0.0,463,8,Athlone Institute of Technology,0.0,0,0
Health,Psychiatric Nursing,387,1.0,384,0.0,384,0.0,399,8,Athlone Institute of Technology,0.0,0,0
Health,Nutrition and Health Science,334,0.0,0,0.0,334,0.0,379,8,Athlone Institute of Technology,0.0,0,0
Personal services,Sports Science with Exercise Physiology,351,0.0,0,0.0,351,0.0,384,8,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Biotechnology,307,0.0,0,0.0,307,0.0,356,8,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Microbiology,325,0.0,0,0.0,325,0.0,393,8,Athlone Institute of Technology,0.0,0,0
Physical sciences,Pharmaceutical Sciences,347,0.0,0,0.0,347,0.0,403,8,Athlone Institute of Technology,0.0,0,0
Health,Athletic and Rehabilitation Therapy,430,0.0,0,0.0,430,0.0,465,8,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Bioveterinary Science,313,0.0,0,0.0,313,0.0,383,8,Athlone Institute of Technology,0.0,0,0
Health,Physical Activity and Health Science,306,0.0,0,0.0,306,0.0,326,8,Athlone Institute of Technology,0.0,0,0
Business and administration,Business,309,0.0,0,0.0,309,0.0,377,8,Athlone Institute of Technology,0.0,0,0
Law,Business and Law,295,0.0,0,0.0,295,0.0,351,8,Athlone Institute of Technology,0.0,0,0
Business and administration,Accounting,309,0.0,0,0.0,309,0.0,422,8,Athlone Institute of Technology,0.0,0,0
Personal services,Sport Management (with international placement),302,0.0,299,0.0,299,0.0,338,8,Athlone Institute of Technology,0.0,0,0
Personal services,Hospitality Management (with international placement),308,0.0,0,0.0,308,0.0,347,8,Athlone Institute of Technology,0.0,0,0
Business and administration,Digital Marketing,304,0.0,0,0.0,304,0.0,332,8,Athlone Institute of Technology,0.0,0,0
Welfare,Social Care Practice,300,0.0,0,0.0,300,0.0,348,8,Athlone Institute of Technology,0.0,0,0
Arts,Animation and Illustration (portfolio),578,0.0,0,0.0,578,0.0,878,8,Athlone Institute of Technology,1.0,0,0
Arts,Graphic and Digital Design (portfolio),781,0.0,0,0.0,781,0.0,824,8,Athlone Institute of Technology,1.0,0,0
Welfare,Early Years Care and Education,307,0.0,0,0.0,307,0.0,346,8,Athlone Institute of Technology,0.0,0,0
Social and behavioural sciences,Applied Psychology,418,0.0,0,0.0,418,0.0,444,8,Athlone Institute of Technology,0.0,0,0
Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",510,0.0,0,0.0,518,0.0,544,8,St. Angela`s College,0.0,0,0
Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441,1.0,434,1.0,434,1.0,466,8,St. Angela`s College,0.0,0,0
Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,1.0,440,0.0,440,0.0,484,8,St. Angela`s College,0.0,0,0
Business and administration,"Nutrition, Food and Business Management",328,0.0,317,0.0,317,0.0,398,8,St. Angela`s College,0.0,0,0
Biological and related sciences,Home Economics,408,0.0,398,0.0,398,0.0,429,8,St. Angela`s College,0.0,0,0
Health,General Nursing,419,1.0,0,0.0,419,1.0,431,8,St. Angela`s College,0.0,0,0
Health,Intellectual Disability Nursing,336,1.0,328,0.0,317,0.0,339,8,St. Angela`s College,0.0,0,0
Welfare,Counselling Skills and Psychotherapy Studies,300,0.0,0,0.0,300,0.0,440,7,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling Skills and Addiction Studies,309,0.0,0,0.0,309,0.0,367,7,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling Skills and Youth Studies,306,0.0,302,0.0,302,0.0,451,7,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling and Psychotherapy,310,0.0,0,0.0,310,0.0,392,8,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling and Addiction Studies,301,0.0,0,0.0,301,0.0,319,8,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling and Youth Studies,311,0.0,0,0.0,311,0.0,311,8,Irish College of Humanities & Applied Sciences,0.0,0,0
Arts,Arts - 3 years,300,0.0,0,0.0,300,0.0,388,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Social Science,412,0.0,0,0.0,412,0.0,451,8,University College Cork (NUI),0.0,0,0
Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,0.0,0,0.0,302,0.0,435,8,University College Cork (NUI),1.0,0,0
Arts,Film and Screen Media - 3 years or 4 years (International Pathway),368,0.0,337,0.0,319,0.0,418,8,University College Cork (NUI),0.0,0,0
Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,0.0,0,0.0,328,0.0,388,8,University College Cork (NUI),0.0,0,0
Languages,Arts International - 4 years,401,0.0,0,0.0,401,0.0,466,8,University College Cork (NUI),0.0,0,0
Languages,English - 3 years or 4 years (International Pathway),318,0.0,0,0.0,318,0.0,441,8,University College Cork (NUI),0.0,0,0
Languages,World Languages,452,0.0,433,0.0,410,0.0,506,8,University College Cork (NUI),0.0,0,0
Welfare,Early Years and Childhood Studies,419,0.0,0,0.0,419,0.0,451,8,University College Cork (NUI),0.0,0,0
Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,0.0,0,0.0,330,0.0,434,8,University College Cork (NUI),1.0,0,0
Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),423,0.0,0,0.0,423,0.0,463,8,University College Cork (NUI),0.0,0,0
Welfare,Social Science (Youth and Community Work) - 3 years,0,0.0,0,0.0,777,0.0,0,8,University College Cork (NUI),1.0,0,0
