CATEGORY (i.e.ISCED description),COURSE TITLE,R1 2020,2020 R1 Random,R2 P2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,2020 Interview,avp,v
Architecture and construction,Quantity Surveying,336,0.0,0,0.0,336,0.0,392,8,Cork Institute of Technology,0.0,0,0
Architecture and construction,Construction Management,269,0.0,0,0.0,269,0.0,318,8,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Electrical Engineering,318,0.0,0,0.0,318,0.0,377,8,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Electronic Engineering,303,0.0,0,0.0,303,0.0,379,8,Cork Institute of Technology,0.0,0,0
Arts,Visual Communications,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,Cork Institute of Technology,1.0,0,0
Welfare,Early Childhood Education and Care,365,0.0,357,0.0,357,0.0,454,7,Cork Institute of Technology,0.0,0,0
Personal services,Culinary Arts,244,0.0,0,0.0,244,0.0,392,7,Cork Institute of Technology,0.0,0,0
Personal services,Beverage Industry Management,209,0.0,0,0.0,209,0.0,316,7,Cork Institute of Technology,0.0,0,0
Personal services,Culinary Studies,189,0.0,0,0.0,189,0.0,290,6,Cork Institute of Technology,0.0,0,0
Personal services,Hospitality Studies,180,0.0,163,0.0,163,0.0,198,6,Cork Institute of Technology,0.0,0,0
Personal services,Tourism Management,252,0.0,0,0.0,252,0.0,325,8,Cork Institute of Technology,0.0,0,0
Arts,Theatre and Drama Studies at CIT Cork School of Music,740,0.0,645,0.0,645,0.0,982,8,Cork Institute of Technology,1.0,0,0
Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,235,0.0,0,0.0,235,0.0,326,7,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Information Technology,290,0.0,0,0.0,290,0.0,372,7,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computing in Information Technology,210,0.0,0,0.0,210,0.0,400,6,CCT College Dublin,0.0,0,0
Information and Communication Technologies (ICTs),Information Technology,219,0.0,0,0.0,219,0.0,263,7,CCT College Dublin,0.0,0,0
Information and Communication Technologies (ICTs),Information Technology,220,0.0,0,0.0,220,0.0,299,8,CCT College Dublin,0.0,avp,0
Business and administration,Business,338,0.0,0,0.0,281,0.0,338,8,CCT College Dublin,0.0,avp,0
Business and administration,Business,AQA,0.0,AQA,0.0,AQA,0.0,254,6,"Institute of Technology, Carlow",0.0,avp,0
Business and administration,Business (options),298,0.0,248,0.0,248,0.0,312,8,"Institute of Technology, Carlow",0.0,0,0
Agriculture,Sustainable Farm Management and Agribusiness,266,0.0,0,0.0,268,0.0,360,7,"Institute of Technology, Carlow",0.0,0,0
Welfare,Early Childhood Education and Care,252,0.0,0,0.0,252,0.0,301,8,"Institute of Technology, Carlow",0.0,0,0
Business and administration,Business (options),195,0.0,0,0.0,195,0.0,400,7,"Institute of Technology, Carlow",1.0,0,0
Arts,Art (portfolio),700,0.0,0,0.0,700,0.0,700,8,"Institute of Technology, Carlow",1.0,0,0
Arts,Visual Communications and Design,214,0.0,181,0.0,181,0.0,336,7,"Institute of Technology, Carlow",0.0,0,0
Arts,Art (portfolio),700,0.0,0,0.0,700,0.0,700,7,"Institute of Technology, Carlow",1.0,0,0
Personal services,Tourism and Event Management,298,0.0,0,0.0,298,0.0,348,8,"Institute of Technology, Carlow",0.0,0,0
Welfare,Applied Social Studies in Professional Social Care,245,0.0,0,0.0,245,0.0,292,8,"Institute of Technology, Carlow",0.0,0,0
Personal services,Tourism and Event Management,217,0.0,0,0.0,217,0.0,311,7,"Institute of Technology, Carlow",0.0,0,0
Agriculture,Sustainable Farm Management and Agribusiness,269,0.0,0,0.0,269,0.0,327,8,"Institute of Technology, Carlow",0.0,0,0
Arts,Visual Communications and Design,274,0.0,0,0.0,274,0.0,340,8,"Institute of Technology, Carlow",0.0,0,0
Health,Physiology and Health Science,451,0.0,0,0.0,451,0.0,509,6,"Institute of Technology, Carlow",0.0,0,0
Environment,Analytical Science,277,0.0,0,0.0,277,0.0,445,7,"Institute of Technology, Carlow",0.0,0,0
Biological and related sciences,Science (options),261,0.0,0,0.0,261,0.0,346,8,"Institute of Technology, Carlow",0.0,0,0
Health,Pharmacy Technician Studies,250,0.0,0,0.0,250,0.0,388,6,"Institute of Technology, Carlow",0.0,0,0
Environment,Biosciences,205,0.0,0,0.0,205,0.0,380,7,"Institute of Technology, Carlow",0.0,0,0
Biological and related sciences,Science - Applied Biology or Applied Chemistry,191,0.0,0,0.0,191,0.0,424,6,"Institute of Technology, Carlow",0.0,0,0
Biological and related sciences,Brewing and Distilling,263,0.0,0,0.0,263,0.0,318,8,"Institute of Technology, Carlow",0.0,0,0
Personal services,Sport and Exercise Science,423,0.0,0,0.0,423,0.0,444,8,"Institute of Technology, Carlow",0.0,0,0
Personal services,Strength and Conditioning,379,0.0,0,0.0,379,0.0,400,8,"Institute of Technology, Carlow",0.0,0,0
Health,Sport Rehabilitation and Athletic Therapy,451,0.0,448,0.0,448,0.0,466,8,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Computing - Applications or Programming,235,0.0,0,0.0,235,0.0,369,6,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Software Development,244,0.0,0,0.0,244,0.0,329,7,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Computer Games Development,279,0.0,0,0.0,279,0.0,327,8,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Information Technology Management,234,0.0,0,0.0,234,0.0,377,7,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Cybercrime and IT Security,233,0.0,0,0.0,242,0.0,357,7,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,212,0.0,0,0.0,212,0.0,337,7,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Software Development,297,0.0,0,0.0,297,0.0,341,8,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Information Technology Management,285,0.0,0,0.0,285,0.0,385,8,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Cybercrime and IT Security,293,0.0,0,0.0,293,0.0,358,8,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,287,0.0,0,0.0,287,0.0,369,8,"Institute of Technology, Carlow",0.0,0,0
Architecture and construction,Architectural Technology,188,0.0,0,0.0,188,0.0,358,7,"Institute of Technology, Carlow",0.0,0,0
Architecture and construction,Construction Management with Building Services,220,0.0,0,0.0,220,0.0,322,7,"Institute of Technology, Carlow",0.0,0,0
Architecture and construction,Civil Engineering,199,0.0,0,0.0,199,0.0,347,7,"Institute of Technology, Carlow",0.0,0,0
Architecture and construction,Construction (options),272,0.0,0,0.0,272,0.0,336,8,"Institute of Technology, Carlow",0.0,0,0
Architecture and construction,Architectural Technology,262,0.0,0,0.0,262,0.0,358,8,"Institute of Technology, Carlow",0.0,0,0
Architecture and construction,Civil Engineering,433,0.0,0,0.0,433,0.0,492,8,"Institute of Technology, Carlow",0.0,0,0
Engineering and engineering trades,Aircraft Systems,293,0.0,0,0.0,294,0.0,399,7,"Institute of Technology, Carlow",0.0,0,0
Engineering and engineering trades,Mechanical Engineering,276,0.0,0,0.0,276,0.0,371,7,"Institute of Technology, Carlow",0.0,0,0
Engineering and engineering trades,Electronic Engineering,227,0.0,0,0.0,227,0.0,357,7,"Institute of Technology, Carlow",0.0,0,0
Arts,TV and Media Production,301,0.0,0,0.0,301,0.0,413,7,"Institute of Technology, Carlow",0.0,0,0
Engineering and engineering trades,Mechanical Engineering,321,0.0,0,0.0,321,0.0,371,8,"Institute of Technology, Carlow",0.0,0,0
Engineering and engineering trades,Electronic Systems,280,0.0,0,0.0,280,0.0,361,8,"Institute of Technology, Carlow",0.0,0,0
Engineering and engineering trades,Aerospace Engineering,380,0.0,0,0.0,380,0.0,442,8,"Institute of Technology, Carlow",0.0,0,0
Arts,TV and Media Production,325,0.0,0,0.0,325,0.0,420,8,"Institute of Technology, Carlow",0.0,0,0
Law,Legal Studies,163,0.0,0,0.0,163,0.0,377,6,"Institute of Technology, Carlow",0.0,0,0
Arts,Industrial Design,207,0.0,0,0.0,207,0.0,380,7,"Institute of Technology, Carlow",1.0,0,0
Law,Law - LLB,302,0.0,0,0.0,302,0.0,349,8,"Institute of Technology, Carlow",0.0,0,0
Welfare,Professional Social Care Practice,288,0.0,0,0.0,288,0.0,347,7,"Institute of Technology, Carlow",1.0,0,0
Arts,Product Design Innovation,252,0.0,0,0.0,252,0.0,359,8,"Institute of Technology, Carlow",0.0,0,0
Welfare,Early Childhood Education and Care,270,0.0,0,0.0,270,0.0,327,8,"Institute of Technology, Carlow",0.0,0,0
Welfare,Professional Social Care Practice,336,0.0,0,0.0,336,0.0,358,8,"Institute of Technology, Carlow",0.0,0,0
Personal services,Sport Coaching and Business Management - GAA (portfolio),700,0.0,0,0.0,700,0.0,700,7,"Institute of Technology, Carlow",1.0,0,0
Business and administration,Media and Public Relations,251,0.0,0,0.0,251,0.0,298,8,"Institute of Technology, Carlow",0.0,0,0
Personal services,Sport Coaching and Business Management - Rugby (portfolio),700,0.0,0,0.0,700,0.0,700,7,"Institute of Technology, Carlow",1.0,0,0
Personal services,Sport Coaching and Business Management - Soccer (portfolio),700,0.0,0,0.0,700,0.0,700,7,"Institute of Technology, Carlow",1.0,0,0
Information and Communication Technologies (ICTs),Digital Marketing with Analytics,200,0.0,0,0.0,200,0.0,356,7,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Digital Marketing with Analytics,254,0.0,0,0.0,269,0.0,326,8,"Institute of Technology, Carlow",0.0,0,0
Personal services,"Sports Management and Coaching (options, portfolio)",700,0.0,0,0.0,700,0.0,700,8,"Institute of Technology, Carlow",1.0,0,0
Business and administration,Business,177,0.0,0,0.0,177,0.0,297,6,"Institute of Technology, Carlow",0.0,0,0
Business and administration,Business (options),280,0.0,0,0.0,280,0.0,357,8,"Institute of Technology, Carlow",0.0,0,0
Business and administration,Business (options),224,0.0,0,0.0,224,0.0,378,7,"Institute of Technology, Carlow",0.0,0,0
Business and administration,Business with Law,210,0.0,0,0.0,210,0.0,409,6,"Institute of Technology, Carlow",0.0,0,0
Business and administration,Accounting,231,0.0,0,0.0,231,0.0,403,6,"Institute of Technology, Carlow",0.0,0,0
Business and administration,Business with Law,283,0.0,0,0.0,283,0.0,301,8,"Institute of Technology, Carlow",0.0,0,0
Business and administration,Accounting,300,0.0,0,0.0,300,0.0,364,8,"Institute of Technology, Carlow",0.0,0,0
Information and Communication Technologies (ICTs),Computing,218,0.0,218,0.0,218,0.0,301,8,Dublin Business School,0.0,avp,0
Information and Communication Technologies (ICTs),Computing (Cloud Computing),227,0.0,227,0.0,227,0.0,280,8,Dublin Business School,0.0,avp,0
Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),341,0.0,341,0.0,334,0.0,377,8,Dublin Business School,0.0,avp,0
Information and Communication Technologies (ICTs),Computing (Software Development),225,0.0,225,0.0,225,0.0,281,8,Dublin Business School,0.0,avp,0
Information and Communication Technologies (ICTs),Computing (Web and Mobile Technology),0,0.0,281,0.0,281,0.0,281,8,Dublin Business School,0.0,avp,0
Arts,Audio Production and Music Project Management,234,0.0,223,0.0,223,0.0,290,8,Dublin Business School,0.0,avp,0
Business and administration,Business Studies,218,0.0,203,0.0,203,0.0,308,8,Dublin Business School,0.0,avp,0
Business and administration,Business Studies (Law),252,0.0,0,0.0,251,0.0,270,8,Dublin Business School,0.0,avp,0
Business and administration,Business Studies (Human Resource Management),244,0.0,244,0.0,244,0.0,326,8,Dublin Business School,0.0,avp,0
Business and administration,Financial Services,0,0.0,0,0.0,0,0.0,0,8,Dublin Business School,0.0,0,0
Business and administration,Marketing (Event Management),238,0.0,0,0.0,238,0.0,309,8,Dublin Business School,0.0,avp,0
Business and administration,Accounting and Finance,225,0.0,195,0.0,195,0.0,318,8,Dublin Business School,0.0,avp,0
Information and Communication Technologies (ICTs),Business (Information Systems),342,0.0,309,0.0,309,0.0,409,8,Dublin Business School,0.0,avp,0
Information and Communication Technologies (ICTs),Business (Cloud Computing),347,0.0,0,0.0,347,0.0,423,8,Dublin Business School,0.0,avp,0
Social and behavioural sciences,Applied Social Care,234,0.0,260,0.0,234,0.0,306,8,Dublin Business School,0.0,avp,0
Social and behavioural sciences,Applied Social Care,AQA,0.0,AQA,0.0,AQA,0.0,337,7,Dublin Business School,0.0,avp,0
Business and administration,Marketing,293,0.0,0,0.0,293,0.0,336,8,Dublin Business School,0.0,avp,0
Arts,Sound Engineering and Music Production,AQA,0.0,AQA,0.0,AQA,0.0,338,6,Dublin Business School,0.0,avp,0
Social and behavioural sciences,Psychology,243,0.0,229,0.0,229,0.0,322,8,Dublin Business School,0.0,avp,0
Arts,Arts,161,0.0,189,0.0,161,0.0,357,6,Dublin Business School,0.0,avp,0
Social and behavioural sciences,Social Science,220,0.0,227,0.0,220,0.0,290,8,Dublin Business School,0.0,avp,0
Arts,Film and Creative Media,218,0.0,202,0.0,202,0.0,290,8,Dublin Business School,0.0,avp,0
Law,Law,219,0.0,252,0.0,217,0.0,309,8,Dublin Business School,0.0,avp,0
Business and administration,Business (Psychology),252,0.0,0,0.0,252,0.0,284,8,Dublin Business School,0.0,avp,0
Business and administration,Business Studies,173,0.0,211,0.0,122,0.0,398,7,Dublin Business School,0.0,avp,0
Business and administration,Business in Accounting,119,0.0,117,0.0,117,0.0,368,7,Dublin Business School,0.0,avp,0
Business and administration,Business in Marketing,117,0.0,146,0.0,117,0.0,388,7,Dublin Business School,0.0,avp,0
Information and Communication Technologies (ICTs),Business in Information Technology,136,0.0,388,0.0,136,0.0,388,7,Dublin Business School,0.0,avp,0
Arts,Film and Creative Media,AQA,0.0,AQA,0.0,AQA,0.0,338,7,Dublin Business School,0.0,avp,0
Education,Education - Early Childhood Education,440,0.0,0,0.0,440,0.0,462,8,Dublin City University,0.0,0,0
Education,Education - Primary Teaching,488,0.0,0,0.0,488,0.0,520,8,Dublin City University,0.0,0,0
Education,Education - Primary Teaching - Gaeltacht Applicants,445,0.0,0,0.0,445,0.0,462,8,Dublin City University,1.0,0,0
Education,Education - Primary Teaching (Church of Ireland Centre formerly CICE),411,0.0,409,0.0,409,0.0,463,8,Dublin City University,1.0,0,0
Arts,Arts (Joint Honours) - Humanities,376,0.0,0,0.0,376,0.0,423,8,Dublin City University,0.0,0,0
Education,Post Primary Teacher Education - Religious Education and English,441,0.0,429,0.0,429,0.0,465,8,Dublin City University,0.0,0,0
Education,Post Primary Teacher Education - Religious Education and History,412,0.0,391,0.0,391,0.0,429,8,Dublin City University,0.0,0,0
Education,Post Primary Teacher Education - Religious Education and Music,378,0.0,0,0.0,378,0.0,420,8,Dublin City University,1.0,0,0
Education,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,0.0,0,0.0,419,0.0,487,8,Dublin City University,0.0,0,0
Arts,BA in Jazz and Contemporary Music Performance (audition),419,0.0,0,0.0,419,0.0,605,8,Dublin City University,1.0,0,0
Languages,Business Studies International,465,0.0,0,0.0,465,0.0,488,8,Dublin City University,0.0,0,0
Business and administration,Business Studies,488,0.0,0,0.0,488,0.0,507,8,Dublin City University,0.0,0,0
Business and administration,Global Business (France),517,0.0,510,0.0,510,0.0,532,8,Dublin City University,0.0,0,0
Business and administration,Global Business (Germany),462,0.0,0,0.0,462,0.0,496,8,Dublin City University,0.0,0,0
Business and administration,Global Business (Spain),522,0.0,0,0.0,522,0.0,545,8,Dublin City University,0.0,0,0
Business and administration,Accounting and Finance,510,0.0,0,0.0,510,0.0,544,8,Dublin City University,0.0,0,0
Business and administration,Global Business (USA),579,0.0,0,0.0,579,0.0,601,8,Dublin City University,0.0,0,0
Engineering and engineering trades,Aviation Management / Aviation Management with Pilot Studies,476,0.0,475,0.0,475,0.0,500,8,Dublin City University,0.0,0,0
Business and administration,Gnó agus Gaeilge / Business and Irish,359,0.0,0,0.0,359,0.0,429,8,Dublin City University,0.0,0,0
Business and administration,Global Business (Canada),564,0.0,0,0.0,564,0.0,577,8,Dublin City University,0.0,0,0
Information and Communication Technologies (ICTs),Enterprise Computing,357,0.0,0,0.0,357,0.0,392,8,Dublin City University,0.0,0,0
Information and Communication Technologies (ICTs),Computer Applications,400,0.0,0,0.0,400,0.0,455,8,Dublin City University,0.0,0,0
Information and Communication Technologies (ICTs),Data Science,465,0.0,0,0.0,465,0.0,531,8,Dublin City University,0.0,0,0
Mathematics and statistics,Actuarial Mathematics,560,0.0,0,0.0,560,0.0,578,8,Dublin City University,0.0,0,0
Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,532,0.0,520,0.0,520,0.0,543,8,Dublin City University,0.0,0,0
Humanities (except languages),Communication Studies,407,0.0,402,0.0,402,0.0,451,8,Dublin City University,0.0,0,0
Journalism and information,Journalism,429,0.0,422,0.0,422,0.0,466,8,Dublin City University,0.0,0,0
Arts,Multimedia,411,0.0,410,0.0,410,0.0,451,8,Dublin City University,0.0,0,0
Languages,Applied Language and Translation Studies,387,0.0,0,0.0,387,0.0,444,8,Dublin City University,0.0,0,0
Physical sciences,Analytical Science,498,1.0,489,0.0,489,0.0,510,8,Dublin City University,0.0,0,0
Physical sciences,Chemical and Pharmaceutical Sciences,521,0.0,0,0.0,521,0.0,544,8,Dublin City University,0.0,0,0
Environment,Environmental Science and Technology,433,0.0,399,0.0,399,0.0,441,8,Dublin City University,0.0,0,0
Biological and related sciences,Genetics and Cell Biology,512,1.0,510,0.0,510,0.0,529,8,Dublin City University,0.0,0,0
Physical sciences,Physics General Entry (options),419,0.0,402,0.0,402,0.0,467,8,Dublin City University,0.0,0,0
Biological and related sciences,Biotechnology,499,0.0,495,0.0,495,0.0,511,8,Dublin City University,0.0,0,0
Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),413,0.0,0,0.0,413,0.0,465,8,Dublin City University,0.0,0,0
Engineering and engineering trades,Mechatronic Engineering,411,0.0,0,0.0,411,0.0,487,8,Dublin City University,0.0,0,0
Engineering and engineering trades,Mechanical and Manufacturing Engineering,425,0.0,0,0.0,425,0.0,487,8,Dublin City University,0.0,0,0
Health,Biomedical Engineering,423,0.0,0,0.0,423,0.0,477,8,Dublin City University,0.0,0,0
Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),422,0.0,0,0.0,422,0.0,487,8,Dublin City University,0.0,0,0
Biological and related sciences,Common Entry into Science (Undenominated Entry),498,1.0,488,0.0,488,0.0,499,8,Dublin City University,0.0,0,0
Health,Sport Science and Health,500,0.0,498,1.0,498,1.0,521,8,Dublin City University,0.0,0,0
Education,Science Education,435,0.0,0,0.0,435,0.0,487,8,Dublin City University,0.0,0,0
Health,Athletic Therapy and Training,522,0.0,519,0.0,519,0.0,533,8,Dublin City University,0.0,0,0
Education,Physical Education with Biology,531,0.0,0,0.0,531,0.0,553,8,Dublin City University,0.0,0,0
Education,Physical Education with Mathematics,499,0.0,0,0.0,499,0.0,520,8,Dublin City University,0.0,0,0
Social and behavioural sciences,Psychology,532,0.0,521,0.0,521,0.0,533,8,Dublin City University,0.0,0,0
Health,Health and Society,465,0.0,440,0.0,440,0.0,466,8,Dublin City University,0.0,0,0
Health,General Nursing,454,0.0,433,0.0,433,0.0,462,8,Dublin City University,0.0,0,0
Health,Mental Health Nursing,418,0.0,403,0.0,403,0.0,424,8,Dublin City University,0.0,0,0
Health,Intellectual Disability Nursing,370,0.0,0,0.0,370,0.0,390,8,Dublin City University,0.0,0,0
Health,Children`s and General Nursing (Integrated),500,0.0,498,0.0,498,0.0,522,8,Dublin City University,0.0,0,0
Social and behavioural sciences,"Economics, Politics and Law",435,0.0,0,0.0,435,0.0,462,8,Dublin City University,0.0,0,0
Social and behavioural sciences,International Relations,397,0.0,0,0.0,397,0.0,433,8,Dublin City University,0.0,0,0
Law,Law and Society (BCL),466,0.0,0,0.0,466,0.0,496,8,Dublin City University,0.0,0,0
Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,0.0,0,0.0,309,0.0,357,8,Dublin City University,0.0,0,0
Humanities (except languages),Social Sciences and Cultural Innovation,377,0.0,0,0.0,377,0.0,411,8,Dublin City University,0.0,0,0
Journalism and information,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,0.0,0,0.0,430,0.0,473,8,Dublin City University,0.0,0,0
Business and administration,"Marketing, Innovation and Technology",476,0.0,474,0.0,474,0.0,498,8,Dublin City University,0.0,0,0
Arts,Arts (Joint Honours) - Media Studies,376,0.0,0,0.0,376,0.0,409,8,Dublin City University,0.0,0,0
Arts,Arts (Joint Honours) - Law,403,0.0,0,0.0,403,0.0,430,8,Dublin City University,0.0,0,0
Arts,Arts (Joint Honours) - International Languages,377,0.0,0,0.0,377,0.0,466,8,Dublin City University,0.0,0,0
Arts,Arts (Joint Honours) - Politics,376,0.0,0,0.0,376,0.0,409,8,Dublin City University,0.0,0,0
Business and administration,Business and Management,120,0.0,120,0.0,120,0.0,352,7,Dundalk Institute of Technology,0.0,avp,0
Business and administration,Business and Technology,191,0.0,0,0.0,191,0.0,327,7,Dundalk Institute of Technology,0.0,avp,0
Business and administration,Digital Marketing and Public Relations,100,0.0,100,0.0,100,0.0,349,7,Dundalk Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Computing,106,0.0,106,0.0,106,0.0,326,7,Dundalk Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Augmented and Virtual Reality,144,0.0,144,0.0,144,0.0,348,7,Dundalk Institute of Technology,0.0,avp,0
Architecture and construction,Building Surveying,165,0.0,0,0.0,165,0.0,330,7,Dundalk Institute of Technology,0.0,0,0
Architecture and construction,Architectural Technology,332,0.0,0,0.0,332,0.0,392,7,Dundalk Institute of Technology,0.0,0,0
Architecture and construction,Construction Management,120,0.0,0,0.0,120,0.0,321,7,Dundalk Institute of Technology,0.0,0,0
Engineering and engineering trades,Engineering - Electrical and Electronic Systems,179,0.0,179,0.0,179,0.0,339,7,Dundalk Institute of Technology,0.0,avp,0
Engineering and engineering trades,Engineering - Mechanical Engineering,166,0.0,166,0.0,166,0.0,312,7,Dundalk Institute of Technology,0.0,avp,0
Architecture and construction,Engineering - Civil Engineering,190,0.0,157,0.0,157,0.0,341,7,Dundalk Institute of Technology,0.0,avp,0
Personal services,Hospitality Management,176,0.0,176,0.0,176,0.0,279,7,Dundalk Institute of Technology,0.0,avp,0
Personal services,Event Management,175,0.0,175,0.0,175,0.0,347,7,Dundalk Institute of Technology,0.0,avp,0
Personal services,Culinary Arts,182,0.0,182,0.0,182,0.0,387,7,Dundalk Institute of Technology,0.0,avp,v
Personal services,"Sport, Exercise and Enterprise",233,0.0,0,0.0,225,0.0,329,7,Dundalk Institute of Technology,0.0,0,0
Welfare,Community Youth Work (interview),240,0.0,240,0.0,240,0.0,330,7,Dundalk Institute of Technology,1.0,avp,0
Arts,Audio and Music Production,261,0.0,0,0.0,261,0.0,361,7,Dundalk Institute of Technology,0.0,0,0
Arts,Creative Media,165,0.0,165,0.0,165,0.0,318,7,Dundalk Institute of Technology,0.0,avp,0
Arts,Theatre & Film Practice,190,0.0,190,0.0,190,0.0,388,7,Dundalk Institute of Technology,0.0,avp,0
Arts,Musical Theatre (audition),0,0.0,0,0.0,0,0.0,0,7,Dundalk Institute of Technology,1.0,0,0
Biological and related sciences,Science - Bioscience,358,0.0,328,0.0,208,0.0,381,7,Dundalk Institute of Technology,0.0,0,0
Biological and related sciences,Science - Pharmaceutical Science,349,0.0,317,0.0,210,0.0,362,7,Dundalk Institute of Technology,0.0,0,0
Veterinary,Veterinary Nursing,399,0.0,0,0.0,399,0.0,445,7,Dundalk Institute of Technology,0.0,0,0
Business and administration,Accounting and Finance,305,0.0,305,0.0,305,0.0,401,8,Dundalk Institute of Technology,0.0,avp,0
Business and administration,Business Studies,300,0.0,300,0.0,300,0.0,367,8,Dundalk Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Computing in Games Development,311,0.0,311,0.0,311,0.0,348,8,Dundalk Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Computing in Software Development,302,0.0,302,0.0,302,0.0,361,8,Dundalk Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Augmented and Virtual Reality,307,0.0,0,0.0,304,0.0,380,8,Dundalk Institute of Technology,0.0,avp,0
Architecture and construction,Building Surveying,336,0.0,0,0.0,336,0.0,352,8,Dundalk Institute of Technology,0.0,0,0
Architecture and construction,Architectural Technology,389,0.0,0,0.0,389,0.0,433,8,Dundalk Institute of Technology,0.0,0,0
Architecture and construction,Construction Management,387,0.0,0,0.0,387,0.0,419,8,Dundalk Institute of Technology,0.0,0,0
Engineering and engineering trades,Engineering (Common Entry),340,0.0,340,0.0,340,0.0,439,8,Dundalk Institute of Technology,0.0,avp,0
Engineering and engineering trades,Mechanical Engineering,305,0.0,305,0.0,305,0.0,448,8,Dundalk Institute of Technology,0.0,avp,0
Engineering and engineering trades,Electrical & Electronic Engineering,304,0.0,304,0.0,304,0.0,392,8,Dundalk Institute of Technology,0.0,avp,0
Architecture and construction,Civil Engineering,391,0.0,361,0.0,361,0.0,392,8,Dundalk Institute of Technology,0.0,avp,0
Personal services,International Tourism Management,317,0.0,317,0.0,317,0.0,377,8,Dundalk Institute of Technology,0.0,avp,0
Arts,Music (audition),532,0.0,532,0.0,503,0.0,634,8,Dundalk Institute of Technology,1.0,avp,0
Social and behavioural sciences,Arts,302,0.0,302,0.0,302,0.0,363,8,Dundalk Institute of Technology,0.0,avp,0
Welfare,Social Care,301,0.0,0,0.0,301,0.0,347,8,Dundalk Institute of Technology,0.0,0,0
Arts,Creative Media,308,0.0,308,0.0,308,0.0,337,8,Dundalk Institute of Technology,0.0,avp,0
Arts,Film and Television Production,300,0.0,300,0.0,300,0.0,402,8,Dundalk Institute of Technology,0.0,avp,v
Arts,Audio and Music Production,301,0.0,0,0.0,301,0.0,367,8,Dundalk Institute of Technology,0.0,0,0
Health,General Nursing,403,0.0,401,0.0,397,1.0,419,8,Dundalk Institute of Technology,0.0,0,0
Health,Intellectual Disability Nursing,336,0.0,0,0.0,336,0.0,358,8,Dundalk Institute of Technology,0.0,0,0
Health,Mental Health Nursing,356,0.0,0,0.0,356,0.0,379,8,Dundalk Institute of Technology,0.0,0,0
Welfare,Early Childhood Studies,321,0.0,0,0.0,321,0.0,388,8,Dundalk Institute of Technology,0.0,0,0
Health,Midwifery,440,0.0,0,0.0,440,0.0,470,8,Dundalk Institute of Technology,0.0,0,0
Health,Health and Physical Activity,328,0.0,0,0.0,328,0.0,389,8,Dundalk Institute of Technology,0.0,0,0
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agriculture (Award options),310,0.0,0,0.0,310,0.0,380,8,Dundalk Institute of Technology,0.0,0,0
"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (Award options),358,0.0,321,0.0,300,0.0,370,8,Dundalk Institute of Technology,0.0,0,0
Agriculture,Sustainable Agriculture,0,0.0,0,0.0,0,0.0,0,8,Dundalk Institute of Technology,0.0,0,0
Manufacturing and processing,Agri-Food Production,0,0.0,0,0.0,0,0.0,0,8,Dundalk Institute of Technology,0.0,0,0
Manufacturing and processing,Biopharmaceutical Science,301,0.0,0,0.0,301,0.0,338,8,Dundalk Institute of Technology,0.0,0,0
Environment,Environmental Science,330,0.0,0,0.0,330,0.0,589,8,Dundalk Institute of Technology,0.0,0,0
Business and administration,Business - Applied Entrepreneurship,AQA,0.0,AQA,0.0,AQA,0.0,359,7,"Dun Laoghaire Institute of Art, Design and Technology",0.0,avp,0
