COURSE TITLE,R1 2019,R2 2019,2019 Interview,2019 R1 Random
Forensic and Pharmaceutical Sciences,335,368,0,0
Drug and Medicinal Product Analysis,236,299,0,0
Electrical Engineering,288,340,0,0
Mechanical Engineering,307,360,0,0
Precision Engineering,280,369,0,0
Social Care Work,360,389,0,0
Business Studies with Travel and Tourism Management,299,326,0,0
Business Studies with Event Management,271,300,0,0
Business Studies with Sports Management,263,298,0,0
Community Development,217,269,0,0
Business,337,378,0,0
Business with Computing,298,326,0,0
Interior Design,298,349,0,0
Biotechnology and Biopharmaceutical Sciences,379,402,0,0
Creative Broadcast and Film Production,298,339,0,0
Music Technology and Production,321,369,0,0
Renewable and Electrical Energy Engineering,317,368,0,0
Industrial Automation & Robotic Systems,321,368,0,0
Electronic Engineering,308,346,0,0
Automotive Engineering and Transport Management,282,329,0,0
Beauty and Spa Management,217,318,0,0
Early Childhood Education & Care,260,309,0,0
Early Childhood Education & Care (Thurles),298,387,0,0
Social Care Work (Thurles),209,290,0,0
Environmental and Geographical Sciences (Thurles),262,346,0,0
Marketing and Management (Thurles),226,300,0,0
Computing - Games Design and Development (Thurles),271,318,0,0
Sports Strength and Conditioning (Thurles),288,333,0,0
Environmental Management in Agriculture (Thurles),278,347,0,0
"Game Art and Design (Clonmel, portfolio)",838,950,1,0
Creative Media and Design (Clonmel),229,273,0,0
"Digital Animation Production (Clonmel, portfolio)",816,962,1,0
Social Care Work (Ennis),319,338,0,0
Early Childhood Education & Care (Ennis),346,388,0,0
Arts (offered in conjunction with Mary Immaculate College),329,388,0,0
Law and Accounting,436,476,0,0
Performing Arts (audition required),307,367,1,0
Criminal Justice,387,409,0,0
Law Plus,473,499,0,0
Psychology and Sociology,478,489,0,0
Journalism and New Media,388,430,0,0
European Studies,350,462,0,0
Applied Languages,404,473,0,0
Business Studies,419,455,0,0
International Business,511,543,0,0
Financial Mathematics,434,543,0,0
Technology Management,372,409,0,0
Food Science and Health,400,430,0,0
Product Design and Technology (portfolio required),402,466,1,0
Aeronautical Engineering,469,531,0,0
Construction Management and Engineering,368,404,0,0
Sport and Exercise Sciences,441,466,0,0
Physical Education with concurrent Teacher Education,498,520,0,1
Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509,0,0
Equine Science,338,381,0,0
Materials and Architectural Technology with concurrent Teacher Education,405,433,0,0
Materials and Engineering Technology with concurrent Teacher Education,358,409,0,0
Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422,0,0
Architecture (portfolio required),419,473,1,0
Physiotherapy,565,577,0,1
Medicine  - Graduate Entry (GAMSAT required),55,57,1,1
Psychology,495,519,0,0
Paramedic Studies (B and C1 Drivers Licence),313,403,1,0
Chemical and Biochemical Engineering,456,520,0,0
Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498,0,0
Electronic and Computer Engineering,401,498,0,0
Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420,0,0
Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430,0,0
Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455,0,0
Mathematics (Math Science/Maths and Physics/Economics and Math Scienc,427,521,0,0
Physics (Applied Physics/Mathematics and Physics),405,509,0,0
General Nursing,440,463,0,1
Mental Health Nursing,388,418,0,0
Intellectual Disability Nursing,381,408,0,1
Midwifery,429,444,0,0
Theology and Arts,290,318,0,0
Theology,292,377,0,0
Education - Primary Teaching (Froebel),496,520,0,1
Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,,1,1
Arts,316,369,0,0
Music,,367,1,0
Psychology - 3 years,495,499,0,0
Social Science,326,349,0,0
Media Studies,317,377,0,0
Community and Youth Work (Full-Time),,271,1,0
Science,350,392,0,0
Biotechnology,429,446,0,0
Physics with Astrophysics,420,488,0,0
Theoretical Physics and Mathematics,498,566,0,0
Data Science,434,466,0,0
Biological and Biomedical Sciences,451,476,0,0
Psychology (through Science) - 4 years,473,485,0,0
Pharmaceutical and Biomedical Chemistry,446,466,0,0
Science/Computer Science/Mathematics (with Education) - options,444,476,0,0
Engineering (Computer/Electronic/Communications),371,423,0,0
Product Design,358,411,0,0
Robotics and Intelligent Devices,361,424,0,0
Finance (options),352,392,0,0
Quantitative Finance,476,487,0,0
Accounting and Finance,402,432,0,0
Business (options),400,429,0,0
Equine Business,357,398,0,0
Business and Accounting,401,420,0,0
Entrepreneurship,358,388,0,0
LLB Law - four year Single Major Law programme,451,476,0,0
Law (options),410,442,0,0
Computer Science through Arts (options),342,369,0,0
Computer Science through Science (options),357,413,0,0
Computational Thinking,520,543,0,0
Early Childhood - Teaching and Learning (part-time),347,358,0,0
"Community and Youth Work (part-time, in service",,,1,0
"Local Studies or Community Studies (part-time, evening)- Mature Students",,,1,0
"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497,0,1
"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433,0,1
"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457,0,0
"Nutrition, Food and Business Management",337,399,0,0
Home Economics,387,401,0,0
General Nursing,391,409,0,1
Intellectual Disability Nursing,317,338,0,0
Business,252,317,0,0
Business in International Marketing and Sales with French,270,388,0,0
Business in International Marketing and Sales with Spanish,280,388,0,0
Accounting,307,347,0,0
Sport with Business,269,316,0,0
Tourism with Event Management,246,282,0,0
Business in Finance and Investment,262,357,0,0
Performing Arts,279,348,0,0
Early Childhood Care and Education,278,318,0,0
Social Care Practice,297,338,0,0
Fine Art,355,496,1,0
Creative Design,261,338,0,0
Computing,295,368,0,0
English and Psychology,308,336,0,0
Sociology and Politics,282,320,0,0
Writing and Literature,279,338,0,0
Application Design and User Experience,290,431,0,0
Computing (Smart Technologies),303,391,0,0
Software Development,300,354,0,0
Computer Networks and Cloud Infrastructure,273,341,0,0
Quantity Surveying,261,302,0,0
Construction Project Management and Applied Technology,289,351,0,0
Architecture,309,357,0,0
Environmental Science,297,358,0,0
Occupational Safety and Health,289,330,0,0
Human Nutrition,357,419,0,0
Science (Undenominated),308,369,0,0
Pharmaceutical Science with Drug Development,347,369,0,0
Applied Archaeology,289,290,0,0
Health Science and Physical Activity,316,363,0,0
Forensic Investigation and Analysis,306,348,0,0
Medical Biotechnology,329,352,0,0
Animation Visual Effects and Motion Design,281,341,0,0
"TV, Radio and New Media",306,356,0,0
Music Technology,264,288,0,0
Computing with Software Development,309,341,0,0
Computing with Games Development,310,334,0,0
Computing with Digital Media,369,369,0,0
Computing (Degree Award options),308,378,0,0
Event Management (3 year programme),291,346,0,0
Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372,0,0
Construction Management,,,0,0
Agricultural Engineering,311,368,0,0
Civil Engineering,300,364,0,0
Manufacturing Engineering,,,0,0
Agricultural Science,331,362,0,0
Wildlife Biology (Degree Award options),310,362,0,0
Pharmaceutical Science (Degree Award options),342,386,0,0
Veterinary Bioscience,326,369,0,0
Health and Leisure (Degree Award options),303,346,0,0
Health and Leisure with Massage,288,357,0,0
Coaching and Sports Performance,282,336,0,0
Early Childhood Care and Education,307,347,0,0
Social Care,308,356,0,0
Counselling with Addiction - Mature applicants only,,,1,0
General Nursing and Mature Applicants,407,431,0,0
Mental Health Nursing and Mature Applicants,367,379,0,1
Applied Computing (options),279,358,0,0
Science (options),302,377,0,0
Health Sciences (options),288,347,0,0
Exercise Sciences (options),282,337,0,0
Engineering (options),287,382,0,0
Construction Management and Engineering,269,327,0,0
Music,290,317,1,0
Business (options),278,357,0,0
Accounting,307,403,0,0
Hospitality Management,210,281,0,0
General Nursing,413,430,0,0
Psychiatric Nursing,361,382,0,0
Intellectual Disability Nursing,338,359,0,0
International Business,289,350,0,0
Design (Visual Communications),253,373,0,0
Laws,290,352,0,0
Architecture,283,385,0,0
Pharmaceutical Science,298,363,0,0
Tourism Marketing,269,338,0,0
Early Childhood Studies,288,336,0,0
Criminal Justice Studies,271,311,0,0
Visual Art,253,323,0,0
Computer Forensics and Security,262,401,0,0
Quantity Surveying,260,320,0,0
Psychology,390,429,0,0
Sports Coaching and Performance,276,327,0,0
Social Science,271,321,0,0
Agricultural Science,378,421,0,0
Social Care Practice,279,323,0,0
Marketing and Digital Media,290,358,0,0
Culinary Arts,235,331,0,0
Architectural and Building Information Modelling Technology,266,305,0,0
Arts (options),221,296,0,0
Software Systems Development,271,329,0,0
Creative Computing,275,322,0,0
Recreation and Sport Management,274,311,0,0
Mechanical and Manufacturing Engineering,273,348,0,0
