CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL801,303,0.0,0,0.0,303,0.0,367,8,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL802,332,0.0,0,0.0,332,0.0,382,8,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL803,337,0.0,0,0.0,337,0.0,360,8,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL805,333,0.0,0,0.0,333,0.0,360,8,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Quantity Surveying,AL810,319,0.0,0,0.0,326,0.0,352,8,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,AL811,320,0.0,0,0.0,320,0.0,432,8,Athlone Institute of Technology,0.0,0,0
Manufacturing and processing,Mechanical and Polymer Engineering,AL820,308,0.0,0,0.0,308,0.0,379,8,Athlone Institute of Technology,0.0,0,0
Health,General Nursing,AL830,442,0.0,0,0.0,442,0.0,463,8,Athlone Institute of Technology,0.0,0,0
Health,Psychiatric Nursing,AL832,387,1.0,384,0.0,384,0.0,399,8,Athlone Institute of Technology,0.0,0,0
Health,Nutrition and Health Science,AL836,334,0.0,0,0.0,334,0.0,379,8,Athlone Institute of Technology,0.0,0,0
Personal services,Sports Science with Exercise Physiology,AL837,351,0.0,0,0.0,351,0.0,384,8,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Biotechnology,AL838,307,0.0,0,0.0,307,0.0,356,8,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Microbiology,AL839,325,0.0,0,0.0,325,0.0,393,8,Athlone Institute of Technology,0.0,0,0
Physical sciences,Pharmaceutical Sciences,AL840,347,0.0,0,0.0,347,0.0,403,8,Athlone Institute of Technology,0.0,0,0
Health,Athletic and Rehabilitation Therapy,AL841,430,0.0,0,0.0,430,0.0,465,8,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Bioveterinary Science,AL842,313,0.0,0,0.0,313,0.0,383,8,Athlone Institute of Technology,0.0,0,0
Health,Physical Activity and Health Science,AL843,306,0.0,0,0.0,306,0.0,326,8,Athlone Institute of Technology,0.0,0,0
Business and administration,Business,AL850,309,0.0,0,0.0,309,0.0,377,8,Athlone Institute of Technology,0.0,0,0
Law,Business and Law,AL851,295,0.0,0,0.0,295,0.0,351,8,Athlone Institute of Technology,0.0,0,0
Business and administration,Accounting,AL852,309,0.0,0,0.0,309,0.0,422,8,Athlone Institute of Technology,0.0,0,0
Personal services,Sport Management (with international placement),AL854,302,0.0,299,0.0,299,0.0,338,8,Athlone Institute of Technology,0.0,0,0
Personal services,Hospitality Management (with international placement),AL855,308,0.0,0,0.0,308,0.0,347,8,Athlone Institute of Technology,0.0,0,0
Business and administration,Digital Marketing,AL857,304,0.0,0,0.0,304,0.0,332,8,Athlone Institute of Technology,0.0,0,0
Welfare,Social Care Practice,AL860,300,0.0,0,0.0,300,0.0,348,8,Athlone Institute of Technology,0.0,0,0
Arts,Animation and Illustration (portfolio),AL861,578,0.0,0,0.0,578,0.0,878,8,Athlone Institute of Technology,1.0,0,0
Arts,Graphic and Digital Design (portfolio),AL863,781,0.0,0,0.0,781,0.0,824,8,Athlone Institute of Technology,1.0,0,0
Welfare,Early Years Care and Education,AL864,307,0.0,0,0.0,307,0.0,346,8,Athlone Institute of Technology,0.0,0,0
Social and behavioural sciences,Applied Psychology,AL870,418,0.0,0,0.0,418,0.0,444,8,Athlone Institute of Technology,0.0,0,0
Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,0.0,0,0.0,518,0.0,544,8,St. Angela`s College,0.0,0,0
Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,1.0,434,1.0,434,1.0,466,8,St. Angela`s College,0.0,0,0
Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,1.0,440,0.0,440,0.0,484,8,St. Angela`s College,0.0,0,0
Business and administration,"Nutrition, Food and Business Management",AS051,328,0.0,317,0.0,317,0.0,398,8,St. Angela`s College,0.0,0,0
Biological and related sciences,Home Economics,AS054,408,0.0,398,0.0,398,0.0,429,8,St. Angela`s College,0.0,0,0
Health,General Nursing,AS110,419,1.0,0,0.0,419,1.0,431,8,St. Angela`s College,0.0,0,0
Health,Intellectual Disability Nursing,AS130,336,1.0,328,0.0,317,0.0,339,8,St. Angela`s College,0.0,0,0
Welfare,Counselling Skills and Psychotherapy Studies,CI001,300,0.0,0,0.0,300,0.0,440,7,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling Skills and Addiction Studies,CI002,309,0.0,0,0.0,309,0.0,367,7,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling Skills and Youth Studies,CI005,306,0.0,302,0.0,302,0.0,451,7,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling and Psychotherapy,CI110,310,0.0,0,0.0,310,0.0,392,8,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling and Addiction Studies,CI111,301,0.0,0,0.0,301,0.0,319,8,Irish College of Humanities & Applied Sciences,0.0,0,0
Welfare,Counselling and Youth Studies,CI112,311,0.0,0,0.0,311,0.0,311,8,Irish College of Humanities & Applied Sciences,0.0,0,0
Arts,Arts - 3 years,CK101,300,0.0,0,0.0,300,0.0,388,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Social Science,CK102,412,0.0,0,0.0,412,0.0,451,8,University College Cork (NUI),0.0,0,0
Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,0.0,0,0.0,302,0.0,435,8,University College Cork (NUI),1.0,0,0
Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,0.0,337,0.0,319,0.0,418,8,University College Cork (NUI),0.0,0,0
Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,0.0,0,0.0,328,0.0,388,8,University College Cork (NUI),0.0,0,0
Languages,Arts International - 4 years,CK108,401,0.0,0,0.0,401,0.0,466,8,University College Cork (NUI),0.0,0,0
Languages,English - 3 years or 4 years (International Pathway),CK109,318,0.0,0,0.0,318,0.0,441,8,University College Cork (NUI),0.0,0,0
Languages,World Languages,CK110,452,0.0,433,0.0,410,0.0,506,8,University College Cork (NUI),0.0,0,0
Welfare,Early Years and Childhood Studies,CK111,419,0.0,0,0.0,419,0.0,451,8,University College Cork (NUI),0.0,0,0
Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,0.0,0,0.0,330,0.0,434,8,University College Cork (NUI),1.0,0,0
Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,423,0.0,0,0.0,423,0.0,463,8,University College Cork (NUI),0.0,0,0
Welfare,Social Science (Youth and Community Work) - 3 years,CK114,0,0.0,0,0.0,777,0.0,0,8,University College Cork (NUI),1.0,0,0
Welfare,Social Work - Mature Applicants only,CK115,0,0.0,0,0.0,999,0.0,0,8,University College Cork (NUI),0.0,0,0
Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,0.0,0,0.0,336,0.0,378,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Applied Psychology,CK120,533,1.0,532,1.0,531,1.0,555,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,0.0,0,0.0,466,0.0,496,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Government and Political Science,CK122,337,0.0,328,0.0,326,0.0,403,8,University College Cork (NUI),0.0,0,0
Humanities (except languages),Anthropology,CK123,308,0.0,0,0.0,308,0.0,410,8,University College Cork (NUI),0.0,0,0
Education,Education - Gaeilge,CK124,463,0.0,462,0.0,452,1.0,495,8,University College Cork (NUI),0.0,0,0
Education,Sports Studies and Physical Education,CK125,510,1.0,509,1.0,509,1.0,532,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce,CK201,477,1.0,0,0.0,477,1.0,509,8,University College Cork (NUI),0.0,0,0
Business and administration,Accounting,CK202,509,0.0,0,0.0,509,0.0,542,8,University College Cork (NUI),0.0,0,0
Information and Communication Technologies (ICTs),Business Information Systems,CK203,430,0.0,0,0.0,430,0.0,467,8,University College Cork (NUI),0.0,0,0
Business and administration,Finance,CK204,556,0.0,0,0.0,556,0.0,590,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with French,CK205,445,0.0,0,0.0,445,0.0,495,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with German,CK206,420,0.0,418,0.0,418,0.0,476,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with Italian,CK207,388,0.0,0,0.0,388,0.0,455,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with Hispanic Studies,CK208,402,0.0,0,0.0,402,0.0,484,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with Irish,CK209,484,0.0,0,0.0,484,0.0,531,8,University College Cork (NUI),0.0,0,0
Business and administration,Commerce (International) with Chinese Studies,CK211,397,0.0,0,0.0,397,0.0,433,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,0.0,0,0.0,444,0.0,473,8,University College Cork (NUI),0.0,0,0
Business and administration,Food Marketing and Entrepreneurship,CK213,462,0.0,0,0.0,462,0.0,476,8,University College Cork (NUI),0.0,0,0
Social and behavioural sciences,International Development,CK214,346,0.0,0,0.0,346,0.0,422,8,University College Cork (NUI),0.0,0,0
Law,Law (Pathways) -  3 or 4 years,CK301,507,0.0,499,0.0,498,1.0,531,8,University College Cork (NUI),0.0,0,0
Law,Law and French,CK302,542,0.0,0,0.0,542,0.0,576,8,University College Cork (NUI),0.0,0,0
Law,Law and Irish,CK304,540,0.0,0,0.0,540,0.0,565,8,University College Cork (NUI),0.0,0,0
Law,Law and Business,CK307,556,0.0,0,0.0,556,0.0,589,8,University College Cork (NUI),0.0,0,0
Information and Communication Technologies (ICTs),Computer Science,CK401,468,0.0,0,0.0,468,0.0,509,8,University College Cork (NUI),0.0,0,0
Biological and related sciences,Biological and Chemical Sciences,CK402,510,1.0,509,1.0,509,0.0,532,8,University College Cork (NUI),0.0,0,0
Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,467,0.0,0,0.0,465,0.0,498,8,University College Cork (NUI),0.0,0,0
Biological and related sciences,Genetics,CK405,487,0.0,0,0.0,487,0.0,498,8,University College Cork (NUI),0.0,0,0
Physical sciences,Chemical Sciences,CK406,485,0.0,472,0.0,462,0.0,494,8,University College Cork (NUI),0.0,0,0
Mathematics and statistics,Mathematical Sciences,CK407,566,0.0,565,1.0,565,0.0,601,8,University College Cork (NUI),0.0,0,0
Physical sciences,Physics and Astrophysics,CK408,554,0.0,542,0.0,531,1.0,589,8,University College Cork (NUI),0.0,0,0
Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,432,0.0,0,0.0,432,0.0,499,8,University College Cork (NUI),0.0,0,0
Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,510,0.0,0,0.0,509,0.0,554,8,University College Cork (NUI),0.0,0,0
Agriculture,Agricultural Science,CK412,496,1.0,496,1.0,489,1.0,510,8,University College Cork (NUI),0.0,0,0
Biological and related sciences,Nutritional Sciences,CK504,518,0.0,0,0.0,517,1.0,554,8,University College Cork (NUI),0.0,0,0
Manufacturing and processing,Food Science,CK505,441,0.0,440,1.0,420,0.0,465,8,University College Cork (NUI),0.0,0,0
Engineering and engineering trades,Engineering,CK600,487,0.0,0,0.0,487,0.0,532,8,University College Cork (NUI),0.0,0,0
Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,484,0.0,476,0.0,469,0.0,510,8,University College Cork (NUI),0.0,0,0
Health,Medicine (Undergraduate Entry - HPAT required),CK701,731,0.0,0,0.0,731,0.0,739,8,University College Cork (NUI),1.0,0,0
Health,Dentistry,CK702,613,1.0,613,1.0,613,1.0,613,8,University College Cork (NUI),0.0,0,0
Health,Pharmacy,CK703,590,0.0,589,1.0,589,1.0,602,8,University College Cork (NUI),0.0,0,0
Health,Occupational Therapy,CK704,566,0.0,555,1.0,555,1.0,577,8,University College Cork (NUI),0.0,0,0
Health,Speech and Language Therapy,CK705,520,0.0,0,0.0,520,0.0,541,8,University College Cork (NUI),0.0,0,0
Health,Public Health Sciences,CK706,454,0.0,0,0.0,454,0.0,477,8,University College Cork (NUI),0.0,0,0
Health,Medical and Health Sciences,CK707,542,0.0,541,0.0,541,0.0,555,8,University College Cork (NUI),0.0,0,0
Health,General Nursing,CK710,454,1.0,0,0.0,454,1.0,477,8,University College Cork (NUI),0.0,0,0
Health,Children`s and General Nursing (Integrated),CK712,533,0.0,0,0.0,533,0.0,553,8,University College Cork (NUI),0.0,0,0
Health,Mental Health Nursing,CK720,423,0.0,0,0.0,419,0.0,440,8,University College Cork (NUI),0.0,0,0
Health,Intellectual Disability Nursing,CK730,419,0.0,411,0.0,400,0.0,433,8,University College Cork (NUI),0.0,0,0
Health,Midwifery,CK740,484,0.0,0,0.0,473,1.0,507,8,University College Cork (NUI),0.0,0,0
Health,Medicine  - Graduate Entry (GAMSAT required),CK791,57,1.0,0,0.0,57,1.0,58,8,University College Cork (NUI),1.0,0,0
Education,Education - Primary Teaching,CM001,484,1.0,0,0.0,484,1.0,487,8,Marino Institute of Education,0.0,0,0
Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,0,0.0,0,0.0,0,0.0,0,8,Marino Institute of Education,1.0,0,0
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,0.0,0,0.0,528,0.0,570,8,Marino Institute of Education,1.0,0,0
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,0.0,0,0.0,494,0.0,513,8,Marino Institute of Education,1.0,0,0
Education,Education Studies,CM010,319,0.0,0,0.0,317,0.0,407,8,Marino Institute of Education,0.0,avp,0
Education,Early Childhood Education,CM020,327,0.0,0,0.0,327,0.0,390,8,Marino Institute of Education,0.0,0,0
Physical sciences,Applied Physics and Instrumentation,CR001,250,0.0,0,0.0,250,0.0,487,7,Cork Institute of Technology,0.0,0,0
Biological and related sciences,Applied Biosciences,CR006,361,0.0,0,0.0,361,0.0,489,7,Cork Institute of Technology,0.0,0,0
Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,240,0.0,0,0.0,240,0.0,487,7,Cork Institute of Technology,0.0,0,0
Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),CR010,321,0.0,0,0.0,321,0.0,422,7,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Development,CR016,307,0.0,0,0.0,307,0.0,413,7,Cork Institute of Technology,0.0,0,0
Business and administration,Business (Common Entry),CR021,255,0.0,0,0.0,255,0.0,433,7,Cork Institute of Technology,0.0,0,0
Business and administration,Business Administration,CR022,190,0.0,0,0.0,190,0.0,336,7,Cork Institute of Technology,0.0,0,0
Welfare,Social Care Work,CR031,346,0.0,0,0.0,346,0.0,411,7,Cork Institute of Technology,0.0,0,0
Personal services,Recreation and Leisure Management,CR032,298,0.0,0,0.0,298,0.0,378,7,Cork Institute of Technology,0.0,0,0
Welfare,Community Development,CR035,100,0.0,0,0.0,100,0.0,251,7,Cork Institute of Technology,0.0,0,0
Personal services,Tourism Management,CR041,216,0.0,0,0.0,216,0.0,399,7,Cork Institute of Technology,0.0,0,0
Personal services,Hospitality Management,CR042,208,0.0,0,0.0,208,0.0,316,7,Cork Institute of Technology,0.0,0,0
Transport services,Automotive Technology and Management,CR046,216,0.0,0,0.0,216,0.0,337,7,Cork Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,CR051,248,0.0,0,0.0,248,0.0,451,7,Cork Institute of Technology,0.0,0,0
Architecture and construction,Construction,CR052,251,0.0,0,0.0,251,0.0,367,7,Cork Institute of Technology,0.0,0,0
Arts,Interior Architecture,CR053,308,0.0,0,0.0,308,0.0,434,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Environmental Engineering,CR055,258,0.0,0,0.0,258,0.0,409,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Electronic Engineering,CR061,260,0.0,0,0.0,260,0.0,444,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Electrical Engineering,CR062,300,0.0,0,0.0,300,0.0,401,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering,CR071,261,0.0,0,0.0,261,0.0,444,7,Cork Institute of Technology,0.0,0,0
Health,Biomedical Engineering,CR075,306,0.0,0,0.0,306,0.0,498,7,Cork Institute of Technology,0.0,0,0
Architecture and construction,Architectural Technology,CR090,266,0.0,0,0.0,266,0.0,411,7,Cork Institute of Technology,0.0,0,0
Transport services,Nautical Science at National Maritime College of Ireland,CR094,243,0.0,0,0.0,243,0.0,380,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,255,0.0,0,0.0,255,0.0,389,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,443,0.0,0,0.0,443,0.0,532,8,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Development,CR106,411,0.0,0,0.0,411,0.0,463,8,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering,CR108,434,0.0,0,0.0,434,0.0,509,8,Cork Institute of Technology,0.0,0,0
Architecture and construction,Structural Engineering,CR109,394,0.0,0,0.0,394,0.0,423,8,Cork Institute of Technology,0.0,0,0
Transport services,Automotive Business Management and Technology,CR110,311,0.0,0,0.0,311,0.0,362,8,Cork Institute of Technology,0.0,0,0
Arts,Creative Digital Media,CR112,361,0.0,0,0.0,361,0.0,430,8,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computer Systems,CR116,332,0.0,0,0.0,332,0.0,393,8,Cork Institute of Technology,0.0,0,0
Arts,Music at CIT Cork School of Music,CR121,868,0.0,0,0.0,912,0.0,1078,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088,0.0,0,0.0,1088,0.0,1088,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Drums at CIT Cork School of Music,CR126,801,0.0,0,0.0,801,0.0,940,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838,0.0,768,0.0,768,0.0,978,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Keyboards at CIT Cork School of Music,CR128,840,0.0,0,0.0,840,0.0,881,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Voice at CIT Cork School of Music,CR129,841,0.0,0,0.0,841,0.0,966,8,Cork Institute of Technology,1.0,0,0
Arts,Musical Theatre at CIT Cork School of Music,CR130,548,0.0,518,0.0,505,0.0,600,8,Cork Institute of Technology,1.0,0,0
Business and administration,Business Information Systems,CR150,335,0.0,0,0.0,335,0.0,391,8,Cork Institute of Technology,0.0,0,0
Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,Cork Institute of Technology,1.0,0,0
Arts,Fine Art at CIT Crawford College of Art and Design,CR220,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,Cork Institute of Technology,1.0,0,0
Arts,Photography with New Media,CR225,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,Cork Institute of Technology,1.0,0,0
Physical sciences,Physical Sciences (Common Entry),CR300,282,0.0,0,0.0,282,0.0,476,7,Cork Institute of Technology,0.0,0,0
Physical sciences,Physical Sciences (Common Entry),CR305,282,0.0,0,0.0,282,0.0,356,8,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),IT Management,CR310,297,0.0,0,0.0,297,0.0,339,8,Cork Institute of Technology,0.0,0,0
Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,0.0,0,0.0,565,0.0,577,8,Cork Institute of Technology,0.0,0,0
Biological and related sciences,Pharmaceutical Biotechnology,CR325,398,0.0,0,0.0,398,0.0,440,8,Cork Institute of Technology,0.0,0,0
Health,Nutrition and Health Science,CR333,402,0.0,0,0.0,402,0.0,433,8,Cork Institute of Technology,0.0,0,0
Biological and related sciences,Biological Sciences (Common Entry),CR335,420,0.0,0,0.0,420,0.0,451,8,Cork Institute of Technology,0.0,0,0
Physical sciences,Analytical Chemistry with Quality Assurance,CR340,251,0.0,0,0.0,251,0.0,366,8,Cork Institute of Technology,0.0,0,0
Physical sciences,Instrument Engineering,CR360,261,0.0,0,0.0,261,0.0,388,8,Cork Institute of Technology,0.0,0,0
Environment,Environmental Science and Sustainable Technology,CR365,253,0.0,0,0.0,253,0.0,341,8,Cork Institute of Technology,0.0,0,0
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,397,0.0,0,0.0,397,0.0,453,8,Cork Institute of Technology,0.0,0,0
