COURSE TITLE,R1 2019,R2 2019,Course Level,2019 Interview,2019 R1 Random
Social Science (Youth and Community Work) - 3 years,,,8,1,0
Social Work - Mature Applicants only,,,8,1,0
Sports Studies and Physical Education,499.0,520.0,8,0,0
Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307.0,361.0,8,0,0
Applied Psychology,506.0,532.0,8,0,0
Psychology and Computing - 3 or 4 years (Work Experience Pathway),393.0,466.0,8,0,0
Government and Political Science,355.0,410.0,8,0,0
Commerce,465.0,489.0,8,0,1
Accounting,467.0,506.0,8,0,0
Business Information Systems,409.0,444.0,8,0,0
Finance,531.0,555.0,8,0,0
Commerce (International) with French,409.0,473.0,8,0,0
Commerce (International) with German,408.0,446.0,8,0,0
Commerce (International) with Italian,408.0,425.0,8,0,0
Commerce (International) with Hispanic Studies,431.0,455.0,8,0,0
Commerce (International) with Irish,509.0,528.0,8,0,0
Commerce (International) with Chinese Studies,398.0,420.0,8,0,0
Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400.0,429.0,8,0,0
Law (Pathways) -  3 or 4 years,476.0,519.0,8,0,0
Law and French,453.0,531.0,8,0,0
Law and Irish,462.0,510.0,8,0,0
Law and Business,522.0,554.0,8,0,0
Computer Science,402.0,456.0,8,0,0
Biological and Chemical Sciences,498.0,520.0,8,0,0
"Biological, Earth and Environmental Sciences",412.0,451.0,8,0,0
Genetics,476.0,496.0,8,0,0
Chemical Sciences,457.0,488.0,8,0,0
Mathematical Sciences,531.0,578.0,8,0,0
Physics and Astrophysics,511.0,566.0,8,0,0
Industrial Physics (offered jointly by UCC and CIT),413.0,532.0,8,0,0
Data Science and Analytics,509.0,542.0,8,0,0
Agricultural Science,457.0,509.0,8,0,0
Food Marketing and Entrepreneurship,433.0,456.0,8,0,0
Nutritional Sciences,492.0,509.0,8,0,0
Food Science,444.0,477.0,8,0,0
International Development and Food Policy,367.0,410.0,8,0,0
Engineering,465.0,532.0,8,0,0
Architecture (offered jointly by UCC and CIT),465.0,496.0,8,0,0
Medicine (Undergraduate Entry - HPAT required),729.0,740.0,8,1,0
Dentistry,590.0,613.0,8,0,0
Pharmacy,577.0,589.0,8,0,0
Occupational Therapy,532.0,554.0,8,0,1
Speech and Language Therapy,509.0,529.0,8,0,0
Public Health Sciences,419.0,451.0,8,0,0
Medical and Health Sciences,510.0,543.0,8,0,1
General Nursing,440.0,466.0,8,0,0
Children`s and General Nursing (Integrated),499.0,520.0,8,0,0
Mental Health Nursing,398.0,429.0,8,0,0
Intellectual Disability Nursing,359.0,388.0,8,0,0
Midwifery,444.0,474.0,8,0,0
Medicine  - Graduate Entry (GAMSAT required),58.0,59.0,8,1,1
International Business,234.0,269.0,8,0,0
Liberal Arts,252.0,275.0,8,0,0
Information Technology,235.0,280.0,8,0,0
Education - Primary Teaching,452.0,462.0,8,0,1
Education - Primary Teaching - Gaeltacht Applicants,421.0,440.0,8,1,0
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491.0,506.0,8,1,0
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492.0,569.0,8,1,0
Education Studies,317.0,373.0,8,0,0
Early Childhood Education,336.0,363.0,8,0,0
Computing,242.0,320.0,8,0,0
Computing (Cloud Computing),326.0,329.0,8,0,0
Computing (Data Analytics and Big Data),269.0,269.0,8,0,0
Computing (Software Development),242.0,282.0,8,0,0
