COURSE TITLE,R1 2019,R2 2019,Course Level,2019 Interview,2019 R1 Random
General Nursing,392.0,401.0,8,0,0
Intellectual Disability Nursing,300.0,317.0,8,0,0
Mental Health Nursing,356.0,378.0,8,0,0
Early Childhood Studies,305.0,359.0,8,0,0
Midwifery,398.0,441.0,8,0,1
Health and Physical Activity,300.0,367.0,8,0,0
Agriculture (Award options),303.0,358.0,8,0,0
Science (Award options),300.0,369.0,8,0,0
Accounting,303.0,378.0,8,0,0
Business,290.0,347.0,8,0,0
Business Information Systems,309.0,373.0,8,0,0
Marketing and Sales,307.0,348.0,8,0,0
Finance and Economics,307.0,398.0,8,0,0
Business with Entrepreneurship,297.0,328.0,8,0,0
Rural Enterprise and Agri-Business (Mountbellew Campus),280.0,367.0,8,0,0
Film and Documentary,287.0,360.0,8,0,0
Heritage Studies,238.0,308.0,8,0,0
Contemporary Art,260.0,340.0,8,0,0
Design,309.0,377.0,8,0,0
International Hotel Management,225.0,289.0,8,0,0
International Tourism Management,261.0,290.0,8,0,0
Culinary and Gastronomic Science,225.0,316.0,8,0,0
Event Management with Public Relations,209.0,289.0,8,0,0
Retail Management,219.0,319.0,8,0,0
Construction Management,260.0,312.0,8,0,0
Quantity Surveying and Construction Economics,280.0,340.0,8,0,0
Architectural Technology,251.0,321.0,8,0,0
Civil Engineering,270.0,362.0,8,0,0
Software and Electronic Engineering,301.0,351.0,8,0,0
Mechanical Engineering,336.0,389.0,8,0,0
Energy Engineering,281.0,328.0,8,0,0
Biomedical Engineering,331.0,383.0,8,0,0
Agricultural Engineering,301.0,365.0,8,0,0
Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346.0,406.0,8,0,0
Applied Freshwater and Marine Biology,300.0,360.0,8,0,0
Applied Biology and Biopharmaceutical Science,317.0,376.0,8,0,0
Chemical and Pharmaceutical Science,307.0,346.0,8,0,0
Physics and Instrumentation,373.0,378.0,8,0,0
Science (Undenominated),327.0,377.0,8,0,0
Medical Science,451.0,486.0,8,0,0
Forensic Science and Analysis,300.0,366.0,8,0,0
Computing in Software Development,275.0,327.0,8,0,0
Computing and Digital Media,270.0,327.0,8,0,0
Agriculture and Environmental Management (Mountbellew Campus),297.0,339.0,8,0,0
Sport and Exercise Science,350.0,379.0,8,0,0
Public Health Nutrition,364.0,397.0,8,0,0
General Nursing - Mayo Campus,389.0,400.0,8,0,1
Psychiatric Nursing - Mayo Campus,346.0,370.0,8,0,0
Outdoor Education - Mayo Campus,210.0,298.0,8,0,0
History and Geography - Mayo Campus,228.0,296.0,8,0,0
Applied Social Care - Mayo Campus,260.0,297.0,8,0,0
Early Childhood Care and Education - Mayo Campus,278.0,319.0,8,0,0
Education (Design Graphics and Construction) - Letterfrack Campus,376.0,389.0,8,0,0
Furniture Design and Manufacture - Letterfrack Campus,271.0,350.0,8,0,0
Furniture and Wood Technology - Letterfrack Campus,270.0,352.0,8,0,0
Arts (Joint-Honours),300.0,374.0,8,0,0
Arts (Psychology),507.0,529.0,8,0,0
Arts (History),318.0,358.0,8,0,0
Na Dána (Gaeilge agus Léann an Aistriúcháin),330.0,397.0,8,0,0
Arts (Mathematics and Education),411.0,487.0,8,0,0
Arts with Children's Studies,382.0,409.0,8,0,0
Arts with Creative Writing,402.0,472.0,8,0,0
Arts with Film Studies,338.0,370.0,8,0,0
Arts with Human Rights,338.0,409.0,8,0,0
Arts with Performing Arts Studies,328.0,367.0,8,0,0
"Arts (Drama, Theatre and Performance Studies)",410.0,451.0,8,0,0
Journalism,410.0,475.0,8,0,0
"Arts (Child, Youth and Family: Policy and Practice)",309.0,346.0,8,0,0
Arts (Children's Studies),356.0,389.0,8,0,0
Na Dána (Cumarsáid agus Gaeilge),308.0,399.0,8,0,0
BSc (Applied Social Sciences),357.0,388.0,8,0,0
Arts (Arts with Data Science),434.0,466.0,8,0,0
Arts (Digital Arts and Technology),324.0,379.0,8,0,0
Arts (English and Media Studies),418.0,451.0,8,0,0
Arts (Film and Digital Media),387.0,435.0,8,0,0
Arts (Global Languages),370.0,440.0,8,0,0
Arts (International),408.0,477.0,8,0,0
Arts (Music),400.0,444.0,8,0,0
Arts (History and Globalisation Studies),340.0,431.0,8,0,0
"Government (Politics, Economics and Law)",402.0,444.0,8,0,0
Education (Computer Science and Mathematical  Studies),401.0,466.0,8,0,0
Commerce,420.0,453.0,8,0,0
Commerce (International) with French,484.0,513.0,8,0,0
Commerce (International) with German,489.0,541.0,8,0,0
Commerce (International) with Spanish,484.0,500.0,8,0,0
Business Information Systems (Work Placement & Optional Int`l Study),431.0,445.0,8,0,0
Commerce (Accounting) including optional Global Experience year,486.0,510.0,8,0,0
Commerce (Gaeilge),473.0,488.0,8,0,0
Commerce (Global Experience),509.0,531.0,8,0,0
Law & Business,436.0,467.0,8,0,0
Law,473.0,498.0,8,0,0
Law & Human Rights,510.0,521.0,8,0,0
"Business Studies (International Hotel Management, Shannon)",486.0,615.0,8,1,0
"Commerce (International Hotel Management, Shannon)",671.0,726.0,8,1,0
Science,400.0,456.0,8,0,0
Biomedical Science,533.0,566.0,8,0,0
Biotechnology,473.0,507.0,8,0,0
Environmental Science,413.0,440.0,8,0,0
Financial Mathematics and Economics,454.0,498.0,8,0,0
Marine Science,409.0,456.0,8,0,0
Environmental Health and Safety,402.0,435.0,8,0,0
Earth and Ocean Sciences,402.0,425.0,8,0,0
Biopharmaceutical Chemistry,510.0,532.0,8,0,0
Mathematical Science,456.0,531.0,8,0,0
"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401.0,487.0,8,0,0
Computer Science and Information Technology,425.0,466.0,8,0,0
Engineering (Undenominated),444.0,499.0,8,0,0
Civil Engineering,509.0,543.0,8,0,0
Mechanical Engineering,443.0,499.0,8,0,0
Electronic and Computer Engineering,509.0,547.0,8,0,0
Biomedical Engineering,519.0,543.0,8,0,0
Project and Construction Management,434.0,464.0,8,0,0
Energy Systems Engineering,532.0,589.0,8,0,0
Electrical and Electronic Engineering,454.0,487.0,8,0,0
"Medicine (five year/six year course, HPAT required)",726.0,731.0,8,1,1
Occupational Therapy,532.0,543.0,8,0,0
Speech and Language Therapy,529.0,543.0,8,0,0
Podiatric Medicine,434.0,463.0,8,0,0
General Nursing (Galway and Portiuncula),442.0,466.0,8,0,0
Mental Health Nursing,388.0,413.0,8,0,0
Midwifery,429.0,468.0,8,0,0
Business - Accounting,318.0,399.0,8,0,0
Business,287.0,352.0,8,0,0
Law,300.0,359.0,8,0,0
Business - with Spanish/Irish options,298.0,367.0,8,0,0
Sports and Exercise (Common Entry),278.0,330.0,8,0,0
Design (Common Entry),307.0,368.0,8,1,0
Fire Safety Engineering,270.0,299.0,8,0,0
Quantity Surveying,307.0,368.0,8,0,0
Construction Management,267.0,291.0,8,0,0
Mechanical Engineering,304.0,333.0,8,0,0
Electronics and Embedded Systems,307.0,339.0,8,0,0
Applied Computing,300.0,348.0,8,0,0
Science (Common Entry),302.0,371.0,8,0,0
Agriculture (Common Entry),300.0,342.0,8,0,0
General Nursing,383.0,390.0,8,0,0
Psychiatric Nursing,291.0,332.0,8,0,1
Intellectual Disability Nursing,288.0,299.0,8,0,0
"Early Childhood Care, Health and Education",300.0,336.0,8,0,0
Health & Social Care (Common Entry),260.0,299.0,8,0,0
Contemporary & Applied Theatre Studies,345.0,381.0,8,0,0
Arts (offered in conjunction with the University of Limerick),300.0,378.0,8,0,0
Education - Primary Teaching,473.0,506.0,8,0,1
Education - Primary Teaching (Gaeltacht Applicants),442.0,473.0,8,1,0
Early Childhood Care and Education,366.0,402.0,8,0,0
Education and Psychology - Primary Teaching,543.0,555.0,8,0,0
"Education, Business Studies and Accounting (Thurles Campus)",392.0,420.0,8,0,0
"Education, Business Studies and Religious Studies (Thurles Campus)",326.0,355.0,8,0,0
"Education, Irish and Religious Studies (Thurles Campus)",377.0,387.0,8,0,0
"Education, Irish and Business Studies (Thurles Campus)",398.0,440.0,8,0,0
"Education, Mathematics and Gaeilge (Thurles Campus)",433.0,465.0,8,0,0
Counselling and Psychotherapy (Limerick),276.0,328.0,8,0,0
"Art and Design (Common Entry, portfolio)",734.0,918.0,8,1,0
Fashion and Textiles for Product and Costume (portfolio),900.0,988.0,8,1,0
Digital Marketing,254.0,288.0,8,0,0
Law and Taxation,308.0,372.0,8,0,0
Accounting and Finance,299.0,382.0,8,0,0
Marketing and Management,298.0,337.0,8,0,0
Enterprise and Innovation,216.0,298.0,8,0,0
Software Development,300.0,371.0,8,0,0
Interactive Digital Media,219.0,288.0,8,0,0
Internet Systems Development,298.0,319.0,8,0,0
Computer Networks and Systems Management,335.0,347.0,8,0,0
Construction Management,276.0,303.0,8,0,0
Property Valuation and Management,292.0,328.0,8,0,0
Quantity Surveying,281.0,360.0,8,0,0
Built Environment (Common Entry),307.0,350.0,8,0,0
Civil Engineering Management,281.0,331.0,8,0,0
Clinical Technology,282.0,359.0,8,0,0
Forensic and Pharmaceutical Sciences,335.0,368.0,8,0,0
Drug and Medicinal Product Analysis,236.0,299.0,8,0,0
Electrical Engineering,288.0,340.0,8,0,0
Mechanical Engineering,307.0,360.0,8,0,0
Precision Engineering,280.0,369.0,8,0,0
Social Care Work,360.0,389.0,8,0,0
Business Studies with Travel and Tourism Management,299.0,326.0,8,0,0
Business Studies with Event Management,271.0,300.0,8,0,0
Business Studies with Sports Management,263.0,298.0,8,0,0
Community Development,217.0,269.0,8,0,0
Business,337.0,378.0,8,0,0
Business with Computing,298.0,326.0,8,0,0
Interior Design,298.0,349.0,8,0,0
Biotechnology and Biopharmaceutical Sciences,379.0,402.0,8,0,0
Creative Broadcast and Film Production,298.0,339.0,8,0,0
Music Technology and Production,321.0,369.0,8,0,0
Renewable and Electrical Energy Engineering,317.0,368.0,8,0,0
Industrial Automation & Robotic Systems,321.0,368.0,8,0,0
Electronic Engineering,308.0,346.0,8,0,0
Automotive Engineering and Transport Management,282.0,329.0,8,0,0
Beauty and Spa Management,217.0,318.0,8,0,0
Early Childhood Education & Care,260.0,309.0,8,0,0
Early Childhood Education & Care (Thurles),298.0,387.0,8,0,0
Social Care Work (Thurles),209.0,290.0,8,0,0
Environmental and Geographical Sciences (Thurles),262.0,346.0,8,0,0
Marketing and Management (Thurles),226.0,300.0,8,0,0
Computing - Games Design and Development (Thurles),271.0,318.0,8,0,0
Sports Strength and Conditioning (Thurles),288.0,333.0,8,0,0
Environmental Management in Agriculture (Thurles),278.0,347.0,8,0,0
"Game Art and Design (Clonmel, portfolio)",838.0,950.0,8,1,0
Creative Media and Design (Clonmel),229.0,273.0,8,0,0
"Digital Animation Production (Clonmel, portfolio)",816.0,962.0,8,1,0
Social Care Work (Ennis),319.0,338.0,8,0,0
Early Childhood Education & Care (Ennis),346.0,388.0,8,0,0
Arts (offered in conjunction with Mary Immaculate College),329.0,388.0,8,0,0
Law and Accounting,436.0,476.0,8,0,0
Performing Arts (audition required),307.0,367.0,8,1,0
Criminal Justice,387.0,409.0,8,0,0
Law Plus,473.0,499.0,8,0,0
Psychology and Sociology,478.0,489.0,8,0,0
Journalism and New Media,388.0,430.0,8,0,0
European Studies,350.0,462.0,8,0,0
Applied Languages,404.0,473.0,8,0,0
Business Studies,419.0,455.0,8,0,0
International Business,511.0,543.0,8,0,0
Financial Mathematics,434.0,543.0,8,0,0
Technology Management,372.0,409.0,8,0,0
Food Science and Health,400.0,430.0,8,0,0
Product Design and Technology (portfolio required),402.0,466.0,8,1,0
Aeronautical Engineering,469.0,531.0,8,0,0
Construction Management and Engineering,368.0,404.0,8,0,0
Sport and Exercise Sciences,441.0,466.0,8,0,0
Physical Education with concurrent Teacher Education,498.0,520.0,8,0,1
Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478.0,509.0,8,0,0
Equine Science,338.0,381.0,8,0,0
Materials and Architectural Technology with concurrent Teacher Education,405.0,433.0,8,0,0
Materials and Engineering Technology with concurrent Teacher Education,358.0,409.0,8,0,0
Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382.0,422.0,8,0,0
Architecture (portfolio required),419.0,473.0,8,1,0
Physiotherapy,565.0,577.0,8,0,1
Medicine  - Graduate Entry (GAMSAT required),55.0,57.0,8,1,1
Psychology,495.0,519.0,8,0,0
Paramedic Studies (B and C1 Drivers Licence),313.0,403.0,8,1,0
Chemical and Biochemical Engineering,456.0,520.0,8,0,0
Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434.0,498.0,8,0,0
Electronic and Computer Engineering,401.0,498.0,8,0,0
Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352.0,420.0,8,0,0
Creative Media and Interaction Design (Digital Design/Music Media Tech),330.0,430.0,8,0,0
Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412.0,455.0,8,0,0
Mathematics (Math Science/Maths and Physics/Economics and Math Scienc,427.0,521.0,8,0,0
Physics (Applied Physics/Mathematics and Physics),405.0,509.0,8,0,0
General Nursing,440.0,463.0,8,0,1
Mental Health Nursing,388.0,418.0,8,0,0
Intellectual Disability Nursing,381.0,408.0,8,0,1
Midwifery,429.0,444.0,8,0,0
Theology and Arts,290.0,318.0,8,0,0
Theology,292.0,377.0,8,0,0
Education - Primary Teaching (Froebel),496.0,520.0,8,0,1
Education - Primary Teaching - Gaeltacht Applicants (Froebel),441.0,,8,1,1
Arts,316.0,369.0,8,0,0
Music,,367.0,8,1,0
Psychology - 3 years,495.0,499.0,8,0,0
Social Science,326.0,349.0,8,0,0
Media Studies,317.0,377.0,8,0,0
Community and Youth Work (Full-Time),,271.0,8,1,0
Science,350.0,392.0,8,0,0
Biotechnology,429.0,446.0,8,0,0
Physics with Astrophysics,420.0,488.0,8,0,0
Theoretical Physics and Mathematics,498.0,566.0,8,0,0
Data Science,434.0,466.0,8,0,0
Biological and Biomedical Sciences,451.0,476.0,8,0,0
Psychology (through Science) - 4 years,473.0,485.0,8,0,0
Pharmaceutical and Biomedical Chemistry,446.0,466.0,8,0,0
Science/Computer Science/Mathematics (with Education) - options,444.0,476.0,8,0,0
Engineering (Computer/Electronic/Communications),371.0,423.0,8,0,0
Product Design,358.0,411.0,8,0,0
Robotics and Intelligent Devices,361.0,424.0,8,0,0
Finance (options),352.0,392.0,8,0,0
Quantitative Finance,476.0,487.0,8,0,0
Accounting and Finance,402.0,432.0,8,0,0
Business (options),400.0,429.0,8,0,0
Equine Business,357.0,398.0,8,0,0
Business and Accounting,401.0,420.0,8,0,0
Entrepreneurship,358.0,388.0,8,0,0
LLB Law - four year Single Major Law programme,451.0,476.0,8,0,0
Law (options),410.0,442.0,8,0,0
Computer Science through Arts (options),342.0,369.0,8,0,0
Computer Science through Science (options),357.0,413.0,8,0,0
Computational Thinking,520.0,543.0,8,0,0
Early Childhood - Teaching and Learning (part-time),347.0,358.0,8,0,0
"Community and Youth Work (part-time, in service",,,8,1,0
"Local Studies or Community Studies (part-time, evening)- Mature Students",,,8,1,0
"Education, Home Economics and Biology - with concurrent Teacher Ed",456.0,497.0,8,0,1
"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400.0,433.0,8,0,1
"Education, Home Economics and Irish - with concurrent Teacher Ed",421.0,457.0,8,0,0
"Nutrition, Food and Business Management",337.0,399.0,8,0,0
Home Economics,387.0,401.0,8,0,0
General Nursing,391.0,409.0,8,0,1
Intellectual Disability Nursing,317.0,338.0,8,0,0
Business,252.0,317.0,8,0,0
Business in International Marketing and Sales with French,270.0,388.0,8,0,0
Business in International Marketing and Sales with Spanish,280.0,388.0,8,0,0
Accounting,307.0,347.0,8,0,0
Sport with Business,269.0,316.0,8,0,0
Tourism with Event Management,246.0,282.0,8,0,0
Business in Finance and Investment,262.0,357.0,8,0,0
Performing Arts,279.0,348.0,8,0,0
Early Childhood Care and Education,278.0,318.0,8,0,0
Social Care Practice,297.0,338.0,8,0,0
Fine Art,355.0,496.0,8,1,0
Creative Design,261.0,338.0,8,0,0
Computing,295.0,368.0,8,0,0
English and Psychology,308.0,336.0,8,0,0
Sociology and Politics,282.0,320.0,8,0,0
Writing and Literature,279.0,338.0,8,0,0
Application Design and User Experience,290.0,431.0,8,0,0
Computing (Smart Technologies),303.0,391.0,8,0,0
Software Development,300.0,354.0,8,0,0
Computer Networks and Cloud Infrastructure,273.0,341.0,8,0,0
Quantity Surveying,261.0,302.0,8,0,0
Construction Project Management and Applied Technology,289.0,351.0,8,0,0
Architecture,309.0,357.0,8,0,0
Environmental Science,297.0,358.0,8,0,0
Occupational Safety and Health,289.0,330.0,8,0,0
Human Nutrition,357.0,419.0,8,0,0
Science (Undenominated),308.0,369.0,8,0,0
Pharmaceutical Science with Drug Development,347.0,369.0,8,0,0
Applied Archaeology,289.0,290.0,8,0,0
Health Science and Physical Activity,316.0,363.0,8,0,0
Forensic Investigation and Analysis,306.0,348.0,8,0,0
Medical Biotechnology,329.0,352.0,8,0,0
Animation Visual Effects and Motion Design,281.0,341.0,8,0,0
"TV, Radio and New Media",306.0,356.0,8,0,0
Music Technology,264.0,288.0,8,0,0
Computing with Software Development,309.0,341.0,8,0,0
Computing with Games Development,310.0,334.0,8,0,0
Computing with Digital Media,369.0,369.0,8,0,0
Computing (Degree Award options),308.0,378.0,8,0,0
Event Management (3 year programme),291.0,346.0,8,0,0
Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307.0,372.0,8,0,0
Construction Management,,,8,0,0
Agricultural Engineering,311.0,368.0,8,0,0
Civil Engineering,300.0,364.0,8,0,0
Manufacturing Engineering,,,8,0,0
Agricultural Science,331.0,362.0,8,0,0
Wildlife Biology (Degree Award options),310.0,362.0,8,0,0
Pharmaceutical Science (Degree Award options),342.0,386.0,8,0,0
Veterinary Bioscience,326.0,369.0,8,0,0
Health and Leisure (Degree Award options),303.0,346.0,8,0,0
Health and Leisure with Massage,288.0,357.0,8,0,0
Coaching and Sports Performance,282.0,336.0,8,0,0
Early Childhood Care and Education,307.0,347.0,8,0,0
Social Care,308.0,356.0,8,0,0
Counselling with Addiction - Mature applicants only,,,8,1,0
General Nursing and Mature Applicants,407.0,431.0,8,0,0
Mental Health Nursing and Mature Applicants,367.0,379.0,8,0,1
Applied Computing (options),279.0,358.0,8,0,0
Science (options),302.0,377.0,8,0,0
Health Sciences (options),288.0,347.0,8,0,0
Exercise Sciences (options),282.0,337.0,8,0,0
Engineering (options),287.0,382.0,8,0,0
Construction Management and Engineering,269.0,327.0,8,0,0
Music,290.0,317.0,8,1,0
Business (options),278.0,357.0,8,0,0
Accounting,307.0,403.0,8,0,0
Hospitality Management,210.0,281.0,8,0,0
General Nursing,413.0,430.0,8,0,0
Psychiatric Nursing,361.0,382.0,8,0,0
Intellectual Disability Nursing,338.0,359.0,8,0,0
International Business,289.0,350.0,8,0,0
Design (Visual Communications),253.0,373.0,8,0,0
Laws,290.0,352.0,8,0,0
Architecture,283.0,385.0,8,0,0
Pharmaceutical Science,298.0,363.0,8,0,0
Tourism Marketing,269.0,338.0,8,0,0
Early Childhood Studies,288.0,336.0,8,0,0
Criminal Justice Studies,271.0,311.0,8,0,0
Visual Art,253.0,323.0,8,0,0
Computer Forensics and Security,262.0,401.0,8,0,0
Quantity Surveying,260.0,320.0,8,0,0
Psychology,390.0,429.0,8,0,0
Sports Coaching and Performance,276.0,327.0,8,0,0
Social Science,271.0,321.0,8,0,0
Agricultural Science,378.0,421.0,8,0,0
Social Care Practice,279.0,323.0,8,0,0
Marketing and Digital Media,290.0,358.0,8,0,0
Culinary Arts,235.0,331.0,8,0,0
Architectural and Building Information Modelling Technology,266.0,305.0,8,0,0
Arts (options),221.0,296.0,8,0,0
Software Systems Development,271.0,329.0,8,0,0
Creative Computing,275.0,322.0,8,0,0
Recreation and Sport Management,274.0,311.0,8,0,0
Mechanical and Manufacturing Engineering,273.0,348.0,8,0,0
Software Design,205.0,306.0,6/7,0,0
Computer Engineering,196.0,272.0,6/7,0,0
Mechanical Engineering,258.0,424.0,6/7,0,0
Civil Engineering,252.0,360.0,6/7,0,0
Pharmacy Technician,306.0,366.0,6/7,0,0
Dental Nursing,326.0,379.0,6/7,0,0
Applied Science,243.0,372.0,6/7,0,0
Business,210.0,317.0,6/7,0,0
Music and Instrument Technology,,296.0,6/7,0,0
Culinary Arts,,216.0,6/7,0,0
Bar Supervision,,216.0,6/7,0,0
Business (Sport and Recreation),,270.0,6/7,0,0
ICT Engineering: Computer Eng/Network Mgmnt/Electronic Comms,235.0,310.0,6/7,0,0
Computer Engineering,205.0,307.0,6/7,0,0
Software Design with Mobile Apps and Connected Devices,206.0,321.0,6/7,0,0
Mechanical Engineering,242.0,337.0,6/7,0,0
Mechanical Engineering and Renewable Energy,231.0,310.0,6/7,0,0
Mechatronics,269.0,364.0,6/7,0,0
Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),245.0,371.0,6/7,0,0
Civil Engineering,217.0,368.0,6/7,0,0
Biotechnology,232.0,382.0,6/7,0,0
Veterinary Nursing,393.0,451.0,6/7,0,0
Pharmaceutical Sciences (Drug Development and Analysis),225.0,389.0,6/7,0,0
Exercise and Health Science,241.0,348.0,6/7,0,0
Digital Marketing,226.0,336.0,6/7,0,0
Business,232.0,387.0,6/7,0,0
Hotel and Leisure Management,200.0,304.0,6/7,0,0
Graphic Design (portfolio),626.0,820.0,6/7,1,0
Early Years Care and Education,270.0,387.0,6/7,0,0
Applied Social Studies in Social Care,281.0,346.0,6/7,0,0
Business (Wexford),153.0,270.0,6/7,0,0
Applied Social Studies - Professional Social Care (Wexford),224.0,289.0,6/7,0,0
Sustainable Farm Management and Agribusiness (Wexford),226.0,302.0,6/7,0,0
"Business (options, Wexford)",349.0,387.0,6/7,0,0
Visual Communications and Design (Wexford),198.0,311.0,6/7,0,0
"Art (portfolio, Wexford)",700.0,700.0,6/7,1,0
Tourism and Event Management (Wexford),204.0,259.0,6/7,0,0
Physiology and Health Science,454.0,499.0,6/7,0,0
Analytical Science,215.0,316.0,6/7,0,0
Pharmacy Technician Studies,241.0,351.0,6/7,0,0
Biosciences,205.0,351.0,6/7,0,0
Science - Applied Biology or Applied Chemistry,198.0,380.0,6/7,0,0
Computing - Applications or Programming,206.0,337.0,6/7,0,0
Software Development,235.0,300.0,6/7,0,0
Information Technology Management,234.0,311.0,6/7,0,0
Cybercrime and IT Security,233.0,317.0,6/7,0,0
Computing in Interactive Digital Art and Design,216.0,321.0,6/7,0,0
Architectural Technology,186.0,298.0,6/7,0,0
Construction Management with Building Services,215.0,311.0,6/7,0,0
Civil Engineering,201.0,298.0,6/7,0,0
Aircraft Systems,285.0,358.0,6/7,0,0
Mechanical Engineering,252.0,336.0,6/7,0,0
Electronic Engineering,225.0,338.0,6/7,0,0
TV and Media Production,306.0,370.0,6/7,0,0
Legal Studies,196.0,331.0,6/7,0,0
Industrial Design,199.0,313.0,6/7,0,0
Applied Social Studies - Professional Social Care,260.0,308.0,6/7,0,0
Sport Coaching and Business Management - GAA (portfolio),700.0,700.0,6/7,1,0
Sport Coaching and Business Management - Rugby (portfolio),700.0,700.0,6/7,1,0
Sport Coaching and Business Management - Soccer (portfolio),700.0,700.0,6/7,1,0
Digital Marketing with Analytics,240.0,308.0,6/7,0,0
Business,173.0,288.0,6/7,0,0
Business (options),200.0,317.0,6/7,0,0
Business with Law,204.0,368.0,6/7,0,0
Business Administration,205.0,367.0,6/7,0,0
Accounting,204.0,414.0,6/7,0,0
Arts and Humanities,126.0,328.0,6/7,0,0
Applied Social Studies - Professional Social Care,,245.0,6/7,0,0
Applied Physics and Instrumentation,258.0,488.0,6/7,0,0
Applied Biosciences,380.0,467.0,6/7,0,0
Analytical and Pharmaceutical Chemistry,246.0,455.0,6/7,0,0
Agriculture (Year 1 - 4 days in Clonakilty Agri College & 1 day in CIT),270.0,368.0,6/7,0,0
Software Development,270.0,393.0,6/7,0,0
Business (Common Entry),250.0,397.0,6/7,0,0
Business Administration,206.0,262.0,6/7,0,0
Social Care,326.0,389.0,6/7,0,0
Recreation and Leisure Management,250.0,349.0,6/7,0,0
Community Development,162.0,271.0,6/7,0,0
Tourism Management,180.0,318.0,6/7,0,0
Hospitality Management,101.0,307.0,6/7,0,0
Automotive Technology and Management,214.0,263.0,6/7,0,0
Civil Engineering,244.0,403.0,6/7,0,0
Construction,232.0,311.0,6/7,0,0
Interior Architecture,253.0,367.0,6/7,0,0
Environmental Engineering,255.0,424.0,6/7,0,0
Electronic Engineering,308.0,520.0,6/7,0,0
Electrical Engineering,279.0,356.0,6/7,0,0
Mechanical Engineering,250.0,410.0,6/7,0,0
Biomedical Engineering,350.0,490.0,6/7,0,0
Architectural Technology,251.0,419.0,6/7,0,0
Nautical Science at National Maritime College of Ireland,237.0,377.0,6/7,0,0
Marine Engineering at National Maritime College of Ireland,224.0,339.0,6/7,0,0
Physical Sciences (Common Entry),270.0,509.0,6/7,0,0
Early Childhood Education and Care,337.0,419.0,6/7,0,0
Culinary Arts,125.0,309.0,6/7,0,0
Beverage Industry Management,182.0,300.0,6/7,0,0
Culinary Studies,116.0,281.0,6/7,0,0
Hospitality Studies,162.0,236.0,6/7,0,0
Marine Electrotechnology at National Maritime College of Ireland,217.0,328.0,6/7,0,0
Information Technology,271.0,356.0,6/7,0,0
Computing in Information Technology,171.0,413.0,6/7,0,0
Information Technology,178.0,365.0,6/7,0,0
Business,180.0,269.0,6/7,0,0
Computing and Multimedia,225.0,233.0,6/7,0,0
Computing and Multimedia,341.0,370.0,6/7,0,0
Business,,,6/7,0,0
Computing and Multimedia,102.0,365.0,6/7,0,0
Business,117.0,280.0,6/7,0,0
Business in Accounting,112.0,454.0,6/7,0,0
Applied Social Care,,307.0,6/7,0,0
Business in Marketing,112.0,223.0,6/7,0,0
Sound Engineering and Music Production,179.0,309.0,6/7,0,0
Arts,128.0,318.0,6/7,0,0
Business Studies,134.0,371.0,6/7,0,0
Business in Accounting,,403.0,6/7,0,0
Business in Marketing,127.0,291.0,6/7,0,0
Business in Information Technology,,367.0,6/7,0,0
Social Studies,120.0,346.0,6/7,0,0
Film and Media,100.0,318.0,6/7,0,0
Legal Studies,108.0,318.0,6/7,0,0
Legal and Business Studies,156.0,391.0,6/7,0,0
Legal Studies,108.0,290.0,6/7,0,0
Legal and Business Studies,190.0,431.0,6/7,0,0
Engineering Reliability Management,234.0,357.0,6/7,0,0
Automation Engineering,270.0,335.0,6/7,0,0
Civil Engineering,243.0,322.0,6/7,0,0
Building Engineering,260.0,317.0,6/7,0,0
Mechanical Engineering,301.0,393.0,6/7,0,0
Automotive Management and Technology,240.0,313.0,6/7,0,0
Electronics and Communications Engineering,241.0,367.0,6/7,0,0
Electrical and Control Engineering,241.0,318.0,6/7,0,0
Electrical Services Engineering,243.0,290.0,6/7,0,0
Aviation Technology,346.0,397.0,6/7,0,0
Networking Technologies,241.0,336.0,6/7,0,0
Engineering (General Entry),370.0,466.0,6/7,0,0
"Auctioneering, Valuation and Estate Agency",290.0,367.0,6/7,0,0
Timber Product Technology,244.0,356.0,6/7,0,0
Science (General Entry),380.0,497.0,6/7,0,0
Ophthalmic Dispensing,302.0,441.0,6/7,0,0
Biosciences,400.0,487.0,6/7,0,0
Industrial and Environmental Physics,260.0,476.0,6/7,0,0
Medicinal Chemistry and Pharmaceutical Sciences,388.0,489.0,6/7,0,0
Marketing,320.0,412.0,6/7,0,0
Business Studies,320.0,431.0,6/7,0,0
Business Management,325.0,433.0,6/7,0,0
Retail Management and Marketing,290.0,326.0,6/7,0,0
Food Management and Entrepreneurship,268.0,376.0,6/7,0,0
Tourism Management,260.0,357.0,6/7,0,0
Hospitality Management,250.0,357.0,6/7,0,0
Leisure Management,250.0,317.0,6/7,0,0
Baking and Pastry Arts Management,240.0,398.0,6/7,0,0
Food Science and Management,270.0,393.0,6/7,0,0
