CATEGORY,COURSE TITLE,COURSE CODE,R1 2020,2020 R1 Random,R2 2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,Course Level,HEI,2020 Interview,avp,v
Architecture and construction,Civil Engineering,320.0,0.0,,0.0,320,,432,8,Athlone Institute of Technology,0.0,,,AL
Manufacturing and processing,Mechanical and Polymer Engineering,308.0,0.0,,0.0,308,,379,8,Athlone Institute of Technology,0.0,,,AL
Health,General Nursing,442.0,0.0,,0.0,442,,463,8,Athlone Institute of Technology,0.0,,,AL
Health,Psychiatric Nursing,387.0,1.0,384.0,0.0,384,,399,8,Athlone Institute of Technology,0.0,,,AL
Health,Nutrition and Health Science,334.0,0.0,,0.0,334,,379,8,Athlone Institute of Technology,0.0,,,AL
Personal services,Sports Science with Exercise Physiology,351.0,0.0,,0.0,351,,384,8,Athlone Institute of Technology,0.0,,,AL
Biological and related sciences,Biotechnology,307.0,0.0,,0.0,307,,356,8,Athlone Institute of Technology,0.0,,,AL
Biological and related sciences,Microbiology,325.0,0.0,,0.0,325,,393,8,Athlone Institute of Technology,0.0,,,AL
Physical sciences,Pharmaceutical Sciences,347.0,0.0,,0.0,347,,403,8,Athlone Institute of Technology,0.0,,,AL
Health,Athletic and Rehabilitation Therapy,430.0,0.0,,0.0,430,,465,8,Athlone Institute of Technology,0.0,,,AL
Biological and related sciences,Bioveterinary Science,313.0,0.0,,0.0,313,,383,8,Athlone Institute of Technology,0.0,,,AL
Health,Physical Activity and Health Science,306.0,0.0,,0.0,306,,326,8,Athlone Institute of Technology,0.0,,,AL
Business and administration,Business,309.0,0.0,,0.0,309,,377,8,Athlone Institute of Technology,0.0,,,AL
Law,Business and Law,295.0,0.0,,0.0,295,,351,8,Athlone Institute of Technology,0.0,,,AL
Business and administration,Accounting,309.0,0.0,,0.0,309,,422,8,Athlone Institute of Technology,0.0,,,AL
Personal services,Sport Management (with international placement),302.0,0.0,299.0,0.0,299,,338,8,Athlone Institute of Technology,0.0,,,AL
Personal services,Hospitality Management (with international placement),308.0,0.0,,0.0,308,,347,8,Athlone Institute of Technology,0.0,,,AL
Business and administration,Digital Marketing,304.0,0.0,,0.0,304,,332,8,Athlone Institute of Technology,0.0,,,AL
Welfare,Social Care Practice,300.0,0.0,,0.0,300,,348,8,Athlone Institute of Technology,0.0,,,AL
Arts,Animation and Illustration (portfolio),578.0,0.0,,0.0,578,,878,8,Athlone Institute of Technology,1.0,,,AL
Arts,Graphic and Digital Design (portfolio),781.0,0.0,,0.0,781,,824,8,Athlone Institute of Technology,1.0,,,AL
Welfare,Early Years Care and Education,307.0,0.0,,0.0,307,,346,8,Athlone Institute of Technology,0.0,,,AL
Social and behavioural sciences,Applied Psychology,418.0,0.0,,0.0,418,,444,8,Athlone Institute of Technology,0.0,,,AL
Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",510.0,0.0,,0.0,518,,544,8,St. Angela`s College,0.0,,,AS
Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441.0,1.0,434.0,1.0,434,1.0,466,8,St. Angela`s College,0.0,,,AS
Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",440.0,1.0,440.0,0.0,440,,484,8,St. Angela`s College,0.0,,,AS
Business and administration,"Nutrition, Food and Business Management",328.0,0.0,317.0,0.0,317,,398,8,St. Angela`s College,0.0,,,AS
Biological and related sciences,Home Economics,408.0,0.0,398.0,0.0,398,,429,8,St. Angela`s College,0.0,,,AS
Health,General Nursing,419.0,1.0,,0.0,419,1.0,431,8,St. Angela`s College,0.0,,,AS
Health,Intellectual Disability Nursing,336.0,1.0,328.0,0.0,317,,339,8,St. Angela`s College,0.0,,,AS
Welfare,Counselling Skills and Psychotherapy Studies,300.0,0.0,,0.0,300,,440,7,Irish College of Humanities & Applied Sciences,0.0,,,CI
Welfare,Counselling Skills and Addiction Studies,309.0,0.0,,0.0,309,,367,7,Irish College of Humanities & Applied Sciences,0.0,,,CI
Welfare,Counselling Skills and Youth Studies,306.0,0.0,302.0,0.0,302,,451,7,Irish College of Humanities & Applied Sciences,0.0,,,CI
Welfare,Counselling and Psychotherapy,310.0,0.0,,0.0,310,,392,8,Irish College of Humanities & Applied Sciences,0.0,,,CI
Welfare,Counselling and Addiction Studies,301.0,0.0,,0.0,301,,319,8,Irish College of Humanities & Applied Sciences,0.0,,,CI
Welfare,Counselling and Youth Studies,311.0,0.0,,0.0,311,,311,8,Irish College of Humanities & Applied Sciences,0.0,,,CI
Arts,Arts - 3 years,300.0,0.0,,0.0,300,,388,8,University College Cork (NUI),0.0,,,CK
Social and behavioural sciences,Social Science,412.0,0.0,,0.0,412,,451,8,University College Cork (NUI),0.0,,,CK
Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302.0,0.0,,0.0,302,,435,8,University College Cork (NUI),1.0,,,CK
Arts,Film and Screen Media - 3 years or 4 years (International Pathway),368.0,0.0,337.0,0.0,319,,418,8,University College Cork (NUI),0.0,,,CK
Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328.0,0.0,,0.0,328,,388,8,University College Cork (NUI),0.0,,,CK
Languages,Arts International - 4 years,401.0,0.0,,0.0,401,,466,8,University College Cork (NUI),0.0,,,CK
Languages,English - 3 years or 4 years (International Pathway),318.0,0.0,,0.0,318,,441,8,University College Cork (NUI),0.0,,,CK
Languages,World Languages,452.0,0.0,433.0,0.0,410,,506,8,University College Cork (NUI),0.0,,,CK
Welfare,Early Years and Childhood Studies,419.0,0.0,,0.0,419,,451,8,University College Cork (NUI),0.0,,,CK
Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330.0,0.0,,0.0,330,,434,8,University College Cork (NUI),1.0,,,CK
Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),423.0,0.0,,0.0,423,,463,8,University College Cork (NUI),0.0,,,CK
Welfare,Social Science (Youth and Community Work) - 3 years,,0.0,,0.0,777,,,8,University College Cork (NUI),1.0,,,CK
Welfare,Social Work - Mature Applicants only,,0.0,,0.0,999,,,8,University College Cork (NUI),0.0,,,CK
Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336.0,0.0,,0.0,336,,378,8,University College Cork (NUI),0.0,,,CK
Social and behavioural sciences,Applied Psychology,533.0,1.0,532.0,1.0,531,1.0,555,8,University College Cork (NUI),0.0,,,CK
Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466.0,0.0,,0.0,466,,496,8,University College Cork (NUI),0.0,,,CK
Social and behavioural sciences,Government and Political Science,337.0,0.0,328.0,0.0,326,,403,8,University College Cork (NUI),0.0,,,CK
Humanities (except languages),Anthropology,308.0,0.0,,0.0,308,,410,8,University College Cork (NUI),0.0,,,CK
Education,Education - Gaeilge,463.0,0.0,462.0,0.0,452,1.0,495,8,University College Cork (NUI),0.0,,,CK
